University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Birth Control,IUD ,Progesterone IUD ,Progestin ,Hormonal IUD ,Mirena ,Skyla ,Kyleena ,Liletta ,Copper IUD ,Non-Hormonal IUD ,Nonhormonal IUD ,Paragard ,Contraceptive implant ,Nexplanon ,Contraceptive injection ,Control shot ,Depo-Provera ,Depo ,emergency contraception ,emergency contraceptives ,morning after pill ,Plan B ,levonorgestrel ,ella ,ulipristal acetate ,contraceptive pill ,control pill ,diaphragm ,spermicide ,contraceptive patch ,control patch ,vaginal ring ,control ring ,contraceptive ring ,cervical cap,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
California State Polytechnic University Pomona,https://www.cpp.edu/health,13,"['https://www.cpp.edu/health/health-topics/pregnancy-prevention.shtml', 'https://www.cpp.edu/health/health-services/emergency-contraceptives.shtml', 'https://www.cpp.edu/health/health-topics/sexual-health-appointment.shtml', 'https://www.cpp.edu/health/health-topics/emergency-contraception.shtml', 'https://www.cpp.edu/health/index.shtml', 'https://www.cpp.edu/health/health-topics/latex-barriers.shtml', 'https://www.cpp.edu/health/health-services/womens-exam.shtml', 'https://www.cpp.edu/health/health-topics/faq-sexual-health.shtml', 'https://www.cpp.edu/health/health-topics/screenings-exams1.shtml', 'https://www.cpp.edu/health/emergency-services.shtml', 'https://www.cpp.edu/health/health-services/pharmacy.shtml', 'https://www.cpp.edu/health/health-topics/sexual-health.shtml']",10760,76.97,5.68,84,37,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,3,0,2,5,3,6,2,0,0,3,3,0,0,3,0,0,3,0.122,0.492,0.137,"[-1, -1, -1, -1, -1, -1, -1, 'Tue, 14 Jan 2020 17:08:10 GMT', -1, -1, -1, -1, -1]",1,"['https://www.cpp.edu/health', 'https://www.cpp.edu/health/index.shtml']",1
California State University Chico,https://www.csuchico.edu/healthcenter,11,"['https://www.csuchico.edu/healthcenter/about/familypact/nexplanon-faq.shtml', 'https://www.csuchico.edu/healthcenter/about/familypact/index.shtml', 'https://www.csuchico.edu/healthcenter/services/', 'https://www.csuchico.edu/healthcenter/services/pharmacy/pricelist.shtml', 'https://www.csuchico.edu/healthcenter/', 'https://www.csuchico.edu/healthcenter/services/pharmacy/medication-safety.shtml', 'https://www.csuchico.edu/healthcenter/services/gender-affirming-care.shtml', 'https://www.csuchico.edu/healthcenter/appointment.shtml', 'https://www.csuchico.edu/healthcenter/services/pharmacy/index.shtml']",6580,43.42,11.6,42,17,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0.49,0.102,"[-1, 'Fri, 10 Jul 2020 00:04:51 GMT', -1, -1, -1, -1, -1, -1, -1, -1, 'Fri, 10 Jul 2020 00:04:49 GMT']",0,['https://www.csuchico.edu/healthcenter'],1
California State University Dominguez Hills,https://www.csudh.edu/shps,2,"['https://www.csudh.edu/shps/student-health-services/', 'https://www.csudh.edu/shps/forms/']",2063,43.28,11.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.617,0.13,"['Wed, 15 Jul 2020 10:09:24 GMT', 'Wed, 15 Jul 2020 09:41:06 GMT']",1,"['https://www.csudh.edu/shps', 'https://www.csudh.edu/shps/forms/']",1
California State University Fresno,http://www.fresnostate.edu/studentaffairs/health,6,"['http://www.fresnostate.edu/studentaffairs/health/medical/sexual-health.html', 'http://www.fresnostate.edu/studentaffairs/health/medical/index.html', 'http://www.fresnostate.edu/studentaffairs/health/wellness/request-presentation.html', 'http://www.fresnostate.edu/studentaffairs/health/medical/pharmacy.html']",2064,65.62,6.83,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.074,0.54,0.242,"[-1, -1, -1, 'Tue, 03 Dec 2019 19:56:13 GMT', -1, 'Tue, 15 Aug 2017 16:39:34 GMT']",-1,[],1
California State University Fullerton,http://www.fullerton.edu/health,2,"['http://www.fullerton.edu/health/resources', 'https://www.fullerton.edu/health/resources/']",1526,50.47,12.74,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.544,-0.016,"[-1, -1]",1,"['http://www.fullerton.edu/health', 'http://www.fullerton.edu/health/resources']",1
California State University East Bay,https://www.csueastbay.edu/shcs,6,"['https://www.csueastbay.edu/shcs/files/docs/ncha-ii-web-spring-2018.PDF', 'https://www.csueastbay.edu/shcs/files/docs/executive-summary-2014.pdf', 'https://www.csueastbay.edu/shcs/forms/family-pact.html']",11171,71.22,6.28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.619,0.161,"['Mon, 13 Jul 2020 05:01:26 GMT', 'Mon, 13 Jul 2020 05:01:24 GMT', 'Mon, 13 Jul 2020 05:01:23 GMT', 'Mon, 13 Jul 2020 05:01:22 GMT', 'Mon, 13 Jul 2020 05:01:19 GMT', -1]",0,['https://www.csueastbay.edu/shcs'],1
California State University Long Beach,http://web.csulb.edu/divisions/students/shs,12,"['https://web.csulb.edu/divisions/students/shs/services/birth_control.html', 'https://web.csulb.edu/divisions/students/shs/services/reproductive_health.html', 'https://web.csulb.edu/divisions/students/shs/services/familypact.html', 'http://web.csulb.edu/divisions/students/shs/', 'https://web.csulb.edu/divisions/students/shs/wellness/outreach_presentations.html', 'https://web.csulb.edu/divisions/students/shs/services/primarycare.html', 'https://web.csulb.edu/divisions/students/shs/wellness/', 'http://web.csulb.edu/divisions/students/shs/make_appointments.html', 'https://web.csulb.edu/divisions/students/shs/faq.html', 'https://web.csulb.edu/divisions/students/shs/services/pharmacy.html', 'https://web.csulb.edu/divisions/students/shs/health_resources.html']",10430,72.2,6.21,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.039,0.496,0.183,"[-1, -1, -1, -1, -1, -1, -1, -1, 'Fri, 09 Aug 2019 17:17:25 GMT', -1, -1, -1]",0,['http://web.csulb.edu/divisions/students/shs'],1
California State University Los Angeles,http://www.calstatela.edu/studenthealthcenter,6,"['http://www.calstatela.edu/studenthealthcenter/safe/sexual-violence-and-misconduct', 'http://www.calstatela.edu/studenthealthcenter/safe/dating-and-domestic-violence', 'http://www.calstatela.edu/studenthealthcenter/safe/prevention', 'http://www.calstatela.edu/studenthealthcenter', 'http://www.calstatela.edu/studenthealthcenter/safe/options-survivors', 'http://www.calstatela.edu/studenthealthcenter/safe/survivor-assistance-student-health-center']",16699,66.98,7.99,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0.438,0.163,"['Thu, 16 Jul 2020 02:13:00 GMT', 'Thu, 16 Jul 2020 05:42:17 GMT', 'Thu, 16 Jul 2020 04:37:07 GMT', 'Thu, 16 Jul 2020 04:53:20 GMT', 'Thu, 16 Jul 2020 05:42:18 GMT', 'Thu, 16 Jul 2020 05:42:18 GMT']",0,['http://www.calstatela.edu/studenthealthcenter'],1
California State University Northridge,https://www.csun.edu/shc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University Sacramento,https://www.csus.edu/student-life/health-counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of California Berkeley,https://uhs.berkeley.edu,17,"['https://uhs.berkeley.edu/news/birth-control-options-new-pharmacy-ruling', 'https://uhs.berkeley.edu/medical/primary-care/gynecology-services', 'http://uhs.berkeley.edu/sites/default/files/iud_hormonal.pdf', 'https://uhs.berkeley.edu/medical/primary-care/gynecology-services/contraceptives-and-family-planning', 'https://uhs.berkeley.edu/medical/pharmacy/frequently-asked-questions', 'https://uhs.berkeley.edu/sites/default/files/depo-provera.pdf', 'https://uhs.berkeley.edu/after-hours', 'https://uhs.berkeley.edu/topics/medical?sort_order=DESC&sort_by=changed&page=2', 'https://uhs.berkeley.edu/medical/pharmacy/pharmacies-east-bay', 'https://uhs.berkeley.edu/sites/default/files/wellfleet_rx_student_formulary_updated_072219_0.pdf']",8175,69.18,7.78,63,23,9,0,1,0,4,3,1,0,0,0,0,3,0,4,0,0,0,4,3,0,1,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0.105,0.569,0.158,"['Mon, 06 Jan 2020 06:46:54 GMT', 'Thu, 16 Jul 2020 05:42:21 GMT', 'Thu, 16 Jul 2020 05:42:22 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Thu, 16 Jul 2020 05:42:24 GMT', 'Sat, 01 Feb 2020 00:59:25 GMT', 'Thu, 16 Jul 2020 05:42:24 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 13 Jan 2020 22:04:50 GMT', 'Thu, 16 Jul 2020 05:42:26 GMT', 'Thu, 16 Jul 2020 05:42:27 GMT', 'Thu, 16 Jul 2020 05:42:27 GMT', 'Fri, 10 Jan 2020 17:24:07 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT']",1,"['https://uhs.berkeley.edu', 'https://uhs.berkeley.edu/after-hours']",1
University of California Davis,https://shcs.ucdavis.edu,21,"['https://shcs.ucdavis.edu/topics/birth-control-contraception', 'https://shcs.ucdavis.edu/blog/archive/healthy-habits/nexplanon-right-you', 'https://shcs.ucdavis.edu/blog/archive/healthy-habits/iud-myths-busted', 'https://shcs.ucdavis.edu/topics/intrauterine-device-iud', 'https://shcs.ucdavis.edu/blog/archive/iud-updates-whats-new', 'https://shcs.ucdavis.edu/topics/nexplanon-implant', 'https://shcs.ucdavis.edu/ilovebirthcontrol', 'https://shcs.ucdavis.edu/topics/missed-birth-control-pill-guidelines', 'https://shcs.ucdavis.edu/topics/emergency-contraception-ec', 'https://shcs.ucdavis.edu/topics/oral-contraceptives', 'https://shcs.ucdavis.edu/blog/archive/know-facts-emergency-contraception', 'https://shcs.ucdavis.edu/topics/depo-provera-shotinjectable', 'https://shcs.ucdavis.edu/topics/spermicides', 'https://shcs.ucdavis.edu/topics/diaphragm', 'https://shcs.ucdavis.edu/wellnesstogo', 'https://shcs.ucdavis.edu/topics/contraceptive-sponge', 'https://shcs.ucdavis.edu/topics/cervical-cap', 'https://shcs.ucdavis.edu/wellness/health-topics/C', 'https://shcs.ucdavis.edu/sites/default/files/documents/1NCHA-II%20UNIVERSITY%20OF%20CALIFORNIA%20DAVIS%20GRAD%20INSTITUTIONAL%20EXECUTIVE%20SUMMARY.pdf']",17389,66.37,8.14,165,48,25,0,15,6,4,3,2,2,2,0,0,4,0,24,0,0,0,1,9,0,1,3,6,0,0,0,3,0,3,0,0,0,0,0,4,0.137,0.529,0.198,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 'Mon, 12 Jun 2017 23:06:23 GMT', 'Mon, 12 Jun 2017 23:07:39 GMT', 'Tue, 30 Aug 2016 17:56:54 GMT']",1,"['https://shcs.ucdavis.edu', 'https://shcs.ucdavis.edu/wellnesstogo']",1
