University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,IUD,Progesterone IUD,Progestin,Hormonal IUD,Mirena,Skyla,Kyleena,Liletta,Copper IUD,Non-Hormonal IUD,nonhormonal iud,Paragard,contraceptive implant,Nexplanon,contraceptive injection,control shot,Depo-Provera,Depo,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
University of California Santa Barbara,http://studenthealth.sa.ucsb.edu,3,"['http://studenthealth.sa.ucsb.edu/medical-services/reproductiveandsexualhealth', 'http://studenthealth.sa.ucsb.edu/insurance/gap']",7598,71.94,5.56,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.052,0.585,0.151,"[-1, -1, 'Thu, 27 Feb 2020 19:49:51 GMT']",1,"['http://studenthealth.sa.ucsb.edu', 'http://studenthealth.sa.ucsb.edu/docs/default-source/forms/online-shs-statement_web-template.pdf?sfvrsn=ee54f4ab_4']",1
University of California Santa Cruz,https://healthcenter.ucsc.edu,9,"['https://healthcenter.ucsc.edu/pharmacy/faq/contraceptives.html', 'https://healthcenter.ucsc.edu/services/birthcontrol.html', 'https://healthcenter.ucsc.edu/information/index.html', 'https://healthcenter.ucsc.edu/information/common-reasons.html', 'https://healthcenter.ucsc.edu/forms/student-handbook/hc-1091-acne-5-14-20.pdf']",3503,73.56,5.83,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0.057,0.634,0.081,"['Tue, 23 Jun 2020 20:11:10 GMT', -1, -1, 'Tue, 30 Jun 2020 19:32:24 GMT', -1, -1, 'Tue, 14 Jul 2020 16:14:32 GMT', 'Tue, 23 Jun 2020 20:11:08 GMT', 'Tue, 23 Jun 2020 20:11:10 GMT']",1,"['https://healthcenter.ucsc.edu', 'https://healthcenter.ucsc.edu/services/birthcontrol.html']",1
California State University Maritime Academy,https://www.csum.edu/web/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Humboldt State University,https://wellbeing.humboldt.edu,4,"['https://wellbeing.humboldt.edu/sexual-health', 'https://wellbeing.humboldt.edu/sites/default/files/health/hsu_2018_health_fee_adjustment_report_with_five-year_shws_strategic_plan_5.pdf']",1364,0.79,26.34,20,0,0,0,0,4,4,0,0,0,0,0,4,0,4,0,0,0,4,0.044,0.697,0.175,"['Wed, 18 Dec 2019 13:54:35 GMT', -1, 'Wed, 18 Dec 2019 13:54:35 GMT', 'Wed, 18 Dec 2019 13:54:35 GMT']",-1,[],1
San Diego State University,https://sa.sdsu.edu/student-health-services,1,['https://sa.sdsu.edu/student-health-services/services'],608,74.27,5.59,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.018,0.721,0.084,[-1],1,"['https://sa.sdsu.edu/student-health-services', 'https://sa.sdsu.edu/student-health-services/services']",1
San Francisco State University,https://health.sfsu.edu,4,"['https://health.sfsu.edu/birth-control-and-sexual-health', 'https://health.sfsu.edu/content/womens-services', 'https://health.sfsu.edu/content/appointments', 'https://health.sfsu.edu/sti-or-hiv-testing']",3484,80.32,5.85,15,3,0,0,0,2,2,1,0,0,0,0,2,0,1,0,0,0,4,0.061,0.617,0.045,"['Thu, 16 Jul 2020 14:43:08 GMT', 'Thu, 16 Jul 2020 15:14:21 GMT', 'Thu, 16 Jul 2020 14:45:19 GMT', 'Thu, 16 Jul 2020 15:14:22 GMT']",1,"['https://health.sfsu.edu', 'https://health.sfsu.edu/birth-control-and-sexual-health']",1
San Jose State University,https://www.sjsu.edu/studenthealth,1,['https://www.sjsu.edu/studenthealth/clinical_services/women_health/index.html'],626,76.29,5.38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.026,0.521,-0.01,"['Fri, 18 Oct 2019 17:26:03 GMT']",1,"['https://www.sjsu.edu/studenthealth', 'https://www.sjsu.edu/studenthealth/clinical_services/women_health/index.html']",1
Sonoma State University,https://health.sonoma.edu,2,['http://health.sonoma.edu/services/appointments/reproductive-health/birth-control'],557,59.45,8.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.033,0.836,0.062,"['Thu, 16 Jul 2020 15:38:53 GMT', 'Thu, 16 Jul 2020 15:14:23 GMT']",2,"['https://health.sonoma.edu', 'https://health.sonoma.edu/services', 'https://health.sonoma.edu/services/appointments/reproductive-health/birth-control']",1
University of Colorado Denver/Anschutz Medical Campus,https://nursing.cuanschutz.edu,11,"['https://nursing.cuanschutz.edu/about/faculty-directory/profile/megan-champion-ucd15466', 'https://nursing.cuanschutz.edu/docs/default-source/people-documents/college-of-nursing-people-documents/faculty-cvs/rachael-kulick-cv.pdf?sfvrsn=ba7d9eb8_2', 'https://nursing.cuanschutz.edu/docs/default-source/people-documents/college-of-nursing-people-documents/faculty-cvs/amy-artmann-cv.pdf?sfvrsn=3a669eb8_2', 'https://nursing.cuanschutz.edu/docs/default-source/people-documents/college-of-nursing-people-documents/faculty-cvs/ana-williams-cv.pdf?sfvrsn=2a669eb8_2', 'https://nursing.cuanschutz.edu/docs/default-source/people-documents/college-of-nursing-people-documents/faculty-cvs/jessica-anderson-cv.pdf?sfvrsn=ca679eb8_2', 'https://nursing.cuanschutz.edu/docs/default-source/people-documents/college-of-nursing-people-documents/faculty-cvs/amy-barton-cv.pdf?sfvrsn=d4789eb8_2']",114092,41.62,12.06,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.031,0.772,-0.055,"['Thu, 16 Jul 2020 09:51:23 GMT', 'Tue, 17 Sep 2019 16:08:01 GMT', 'Thu, 07 Mar 2019 17:53:05 GMT', 'Thu, 07 Mar 2019 17:52:38 GMT', 'Thu, 07 Mar 2019 17:52:31 GMT', 'Tue, 17 Sep 2019 16:08:00 GMT', 'Thu, 07 Mar 2019 17:52:32 GMT', 'Thu, 07 Mar 2019 17:52:36 GMT', 'Thu, 07 Mar 2019 17:52:35 GMT', 'Thu, 07 Mar 2019 17:52:35 GMT', 'Thu, 07 Mar 2019 17:52:31 GMT']",2,"['https://nursing.cuanschutz.edu', 'https://nursing.cuanschutz.edu/student-life/course-schedules', 'https://nursing.cuanschutz.edu/docs/librariesprovider2/student-resources/course-schedules/summer-2020-course-schedule-031920.pdf?sfvrsn=ef8c04b9_14']",1
University of Colorado Colorado Springs,https://www.uccs.edu/recwellness/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Colorado Boulder,https://www.colorado.edu/healthcenter,1,['https://www.colorado.edu/healthcenter/services/sexual-and-reproductive-health'],923,39.46,12.58,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.027,0.42,0.35,"['Thu, 16 Jul 2020 14:34:53 GMT']",1,"['https://www.colorado.edu/healthcenter', 'https://www.colorado.edu/healthcenter/services/sexual-and-reproductive-health']",1
Colorado School of Mines,https://www.mines.edu/student-health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Colorado State University Fort Collins,https://health.colostate.edu,3,"['https://health.colostate.edu/womens-care/', 'https://health.colostate.edu/primary-care/']",3561,28.92,16.03,14,6,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0.081,0.679,0.095,"['Tue, 14 Jul 2020 21:09:40 GMT', 'Tue, 29 Jan 2019 19:54:37 GMT', 'Tue, 14 Jul 2020 20:09:41 GMT']",-1,[],1
Fort Lewis College,https://www.fortlewis.edu/life-at-flc/health-safety/health-center,2,"['https://www.fortlewis.edu/life-at-flc/health-safety/health-center/medical-services-and-fees/medical-services', 'https://www.fortlewis.edu/life-at-flc/health-safety/health-center/faq']",1405,65.71,7.16,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.027,0.643,0.065,"[-1, -1]",1,"['https://www.fortlewis.edu/life-at-flc/health-safety/health-center', 'https://www.fortlewis.edu/life-at-flc/health-safety/health-center/medical-services-and-fees/medical-services']",1
Colorado Mesa University,https://www.coloradomesa.edu/student-services/wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Metropolitan State University of Denver,https://www.msudenver.edu/healthcenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Northern Colorado,https://www.unco.edu/student-health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Colorado State University Pueblo,https://www.csupueblo.edu/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Western State Colorado University,https://western.edu/student-life/health-wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Central Connecticut State University,https://web.ccsu.edu/healthservices/?redirected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Connecticut,https://shs.uconn.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Eastern Connecticut State University,https://www.easternct.edu/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Southern Connecticut State University,https://inside.southernct.edu/health-services,1,['https://inside.southernct.edu/health-services/services'],1190,68.57,6.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.801,0.077,"['Thu, 16 Jul 2020 15:14:39 GMT']",1,"['https://inside.southernct.edu/health-services', 'https://inside.southernct.edu/health-services/services']",1
Western Connecticut State University,https://www.wcsu.edu/healthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Delaware State University,https://www.desu.edu/student-life/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Delaware,https://sites.udel.edu/studenthealth,1,['https://sites.udel.edu/studenthealth/women/'],1101,54.1,10.76,17,7,0,0,0,2,0,1,1,0,0,0,1,0,2,0,0,0,3,0.101,0.662,0.137,[-1],2,"['https://sites.udel.edu/studenthealth', 'https://sites.udel.edu/studenthealth/services/', 'https://sites.udel.edu/studenthealth/women/']",1
University of the District of Columbia,https://www.udc.edu/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Central Florida,https://studenthealth.ucf.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Chipola College,https://www.chipola.edu/studentservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Florida SouthWestern State College,https://www.fsw.edu/publichealthresources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Florida Agricultural and Mechanical University,http://www.famu.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Florida Atlantic University,https://www.fau.edu/shs,4,"['http://www.fau.edu/shs/PDFs/2020_01_04_Price_List_NEW_FORMAT.pdf', 'http://www.fau.edu/shs/services/womens.php', 'http://www.fau.edu/shs/services/womens_oral_contraceptives.php']",1488,50.97,10.92,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.025,0.543,0.119,"['Mon, 03 Jun 2019 16:02:58 GMT', 'Fri, 10 Jan 2020 22:26:31 GMT', -1, -1]",0,['https://www.fau.edu/shs'],1
Florida International University,https://studentaffairs.fiu.edu/health-and-fitness/student-health,5,"['https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/womens-health/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/student-fee-faq/_assets/shcprice1920.pdf', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/healthy-living/healthy-panther-resources/reports-and-publications/_assets/pdfs/7.pdf']",395,73.05,5.78,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.042,0.646,-0.081,"[-1, 'Wed, 15 Jul 2020 07:13:50 GMT', 'Wed, 15 Jul 2020 07:13:53 GMT', 'Wed, 15 Jul 2020 07:15:09 GMT', 'Wed, 15 Jul 2020 07:15:10 GMT']",2,"['https://studentaffairs.fiu.edu/health-and-fitness/student-health', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/womens-health/index.php']",1
