University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,pap smear,pap smears,papsmear,papsmears,pap test,pap tests,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Southern Arkansas University Main Campus,https://web.saumag.edu/health,,,,,,,,,,,,,,,,,,,0
University of Arkansas Fort Smith,https://campuslife.uafs.edu/services/health-center,,,,,,,,,,,,,,,,,,,0
California Polytechnic State University San Luis Obispo,https://chw.calpoly.edu,,,,,,,,,,,,,,,,,,,0
California State University Bakersfield,https://www.csub.edu/healthcenter,5,"['https://www.csub.edu/healthcenter/Services/women/index.html', 'https://www.csub.edu/healthcenter/information/fees/index.html', 'https://www.csub.edu/healthcenter/information/pact/index.html', 'https://www.csub.edu/healthcenter/Services/avclinic/index.html', 'https://www.csub.edu/healthcenter/information/index.html']",4194,62.6,7.73,9,6,3,0,0,0,0,0.075,0.577,0.151,"['Sat, 15 Aug 2020 09:39:55 GMT', 'Sat, 15 Aug 2020 09:39:52 GMT', 'Sat, 15 Aug 2020 09:39:51 GMT', 'Sat, 15 Aug 2020 09:39:56 GMT', 'Sat, 15 Aug 2020 09:39:48 GMT']",1,"['https://www.csub.edu/healthcenter', 'https://www.csub.edu/healthcenter/information/index.html']",1
California State University Stanislaus,https://www.csustan.edu/health-center,2,"['https://www.csustan.edu/health-center/clinical-services/laboratory-radiology', 'https://www.csustan.edu/health-center/clinical-services']",1090,65.88,6.2,1,1,0,0,0,0,0,0.055,0.65,0.154,"['Sun, 16 Aug 2020 12:11:44 GMT', 'Sun, 16 Aug 2020 12:11:45 GMT']",1,"['https://www.csustan.edu/health-center', 'https://www.csustan.edu/health-center/clinical-services']",1
California State University San Bernardino,https://www.csusb.edu/student-health-center,1,['https://www.csusb.edu/student-health-center'],2140,60.45,8.06,2,1,1,0,0,0,0,0.057,0.653,0.047,"['Sun, 16 Aug 2020 01:42:24 GMT']",0,['https://www.csusb.edu/student-health-center'],1
California State Polytechnic University Pomona,https://www.cpp.edu/health,7,"['https://www.cpp.edu/health/health-services/womens-exam.shtml', 'https://www.cpp.edu/health/health-topics/screenings-exams1.shtml', 'https://www.cpp.edu/health/health-topics/std-screening.shtml', 'https://www.cpp.edu/health/health-topics/faq-sexual-health.shtml', 'https://www.cpp.edu/health/student-health-services.shtml', 'https://www.cpp.edu/health/health-topics/sexually-transmitted-infections.shtml', 'https://www.cpp.edu/health/index.shtml']",6373,77.37,6.16,27,17,1,0,0,9,0,0.125,0.547,0.095,"[-1, -1, -1, -1, -1, -1, -1]",1,"['https://www.cpp.edu/health', 'https://www.cpp.edu/health/index.shtml']",1
California State University Chico,https://www.csuchico.edu/healthcenter,,,,,,,,,,,,,,,,,,,0
California State University Dominguez Hills,https://www.csudh.edu/shps,1,['https://www.csudh.edu/shps/student-health-services/'],1593,46.34,11.18,2,1,1,0,0,0,0,0.041,0.617,0.13,"['Sat, 15 Aug 2020 08:47:32 GMT']",1,"['https://www.csudh.edu/shps', 'https://www.csudh.edu/shps/student-health-services/']",1
California State University Fresno,http://www.fresnostate.edu/studentaffairs/health,,,,,,,,,,,,,,,,,,,0
California State University Fullerton,http://www.fullerton.edu/health,,,,,,,,,,,,,,,,,,,0
California State University East Bay,https://www.csueastbay.edu/shcs,1,['https://www.csueastbay.edu/shcs/services/womens-health.html'],998,53.65,9.5,2,0,0,0,0,1,1,0.039,0.507,0.321,[-1],1,"['https://www.csueastbay.edu/shcs', 'https://www.csueastbay.edu/shcs/services/womens-health.html']",1
California State University Long Beach,https://web.csulb.edu/divisions/students/shs,2,"['https://web.csulb.edu/divisions/students/shs/services/reproductive_health.html', 'https://web.csulb.edu/divisions/students/shs/services/familypact.html']",1714,63.99,8.02,2,0,0,0,0,2,0,0.047,0.479,0.117,"[-1, -1]",-1,[],1
California State University Los Angeles,https://www.calstatela.edu/studenthealthcenter,,,,,,,,,,,,,,,,,,,0
California State University Northridge,https://www.csun.edu/shc,,,,,,,,,,,,,,,,,,,0
California State University Sacramento,https://www.csus.edu/student-life/health-counseling,,,,,,,,,,,,,,,,,,,0
University of California Berkeley,https://uhs.berkeley.edu,10,"['https://uhs.berkeley.edu/medical/primary-care/gynecology-services/gynecological-care-and-screening', 'https://uhs.berkeley.edu/sites/default/files/WomensHealth.pdf', 'https://uhs.berkeley.edu/medical/primary-care/preventive-health/recommended-health-screening-exams-tests', 'https://uhs.berkeley.edu/home/healthtopics/hpv.shtml', 'https://uhs.berkeley.edu/medical/sample-fees', 'https://uhs.berkeley.edu/insurance-ship/ship-benefits/medical-outpatient', 'https://uhs.berkeley.edu/medical/primary-care/preventive-health', 'https://uhs.berkeley.edu/medical/primary-care/sexual-health-care-tang/get-tested-sexual-health-care-tang']",8249,67.55,7.87,24,11,9,0,0,3,1,0.117,0.553,0.158,"['Sun, 16 Aug 2020 11:44:41 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Sun, 16 Aug 2020 12:15:04 GMT', -1, 'Sun, 16 Aug 2020 12:15:05 GMT', 'Fri, 06 Mar 2020 22:39:11 GMT', 'Sun, 16 Aug 2020 12:15:06 GMT', 'Sun, 16 Aug 2020 12:15:07 GMT', 'Sun, 16 Aug 2020 12:15:08 GMT']",1,"['https://uhs.berkeley.edu', 'https://uhs.berkeley.edu/medical/sample-fees']",1
University of California Davis,https://shcs.ucdavis.edu,10,"['https://shcs.ucdavis.edu/services/womens-health-services', 'https://shcs.ucdavis.edu/blog/your-pelvic-health-important', 'https://shcs.ucdavis.edu/services/sti-testing', 'https://shcs.ucdavis.edu/topics/human-papillomavirus-hpv', 'https://shcs.ucdavis.edu/services/primary-care', 'https://shcs.ucdavis.edu/topics/hpv-vaccine', 'https://shcs.ucdavis.edu/topics/tobacco-cessation', 'https://shcs.ucdavis.edu/topics/genital-warts-hpv', 'https://shcs.ucdavis.edu/blog/archive/general-shcs-info/getting-smart-about-hpv-vaccine', 'https://shcs.ucdavis.edu/blog/archive/general-shcs-info/are-you-positive-youre-negative']",11344,69.19,8.27,30,5,1,0,0,19,5,0.112,0.555,0.124,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://shcs.ucdavis.edu', 'https://shcs.ucdavis.edu/services/primary-care']",1
University of California Irvine,https://shc.uci.edu,5,"['https://shc.uci.edu/services/specialty-care', 'https://shc.uci.edu/faq', 'https://shc.uci.edu/sites/default/files/UC%20SHIP_SHC%20Services%20That%20Require%20No%20Copay%20or%20Coinsurance%20October%202019.pdf']",4574,60.89,9.8,7,5,2,0,0,0,0,0.078,0.658,0.127,"['Sun, 16 Aug 2020 11:00:42 GMT', 'Sun, 16 Aug 2020 12:24:32 GMT', 'Mon, 20 Jul 2020 17:17:03 GMT', 'Tue, 29 Oct 2019 18:39:55 GMT', 'Thu, 22 Feb 2018 21:07:16 GMT']",1,"['https://shc.uci.edu', 'https://shc.uci.edu/faq']",1
University of California Los Angeles,https://www.studenthealth.ucla.edu,7,"['https://www.studenthealth.ucla.edu/services/womens-health', 'https://www.studenthealth.ucla.edu/fees', 'https://www.studenthealth.ucla.edu/services/lab-services', 'https://www.studenthealth.ucla.edu/services/asap-clinic', 'https://www.studenthealth.ucla.edu/services/primary-care', 'https://www.studenthealth.ucla.edu/insurance/bruincare', 'https://www.studenthealth.ucla.edu/services']",6269,58.91,9.54,2,1,1,0,0,0,0,0.029,0.555,0.181,"[-1, -1, -1, -1, -1, -1, -1]",1,"['https://www.studenthealth.ucla.edu', 'https://www.studenthealth.ucla.edu/services']",1
University of California Riverside,https://studenthealth.ucr.edu,,,,,,,,,,,,,,,,,,,0
University of California San Diego,https://wellness.ucsd.edu/studenthealth/Pages,,,,,,,,,,,,,,,,,,,0
University of California Santa Barbara,http://studenthealth.sa.ucsb.edu,5,"['http://studenthealth.sa.ucsb.edu/insurance/gap', 'http://studenthealth.sa.ucsb.edu/docs/default-source/default-document-library/price-comparison-04-04-18.pdf?sfvrsn=0', 'http://studenthealth.sa.ucsb.edu/docs/default-source/lgbtqi-docs/masculinizing-hormone-consent-10-19-17.pdf?sfvrsn=9f5bf5ab_2']",130009,73.18,5.57,2,0,0,0,0,1,1,0.091,0.754,0.054,"[-1, 'Tue, 09 Apr 2019 20:58:34 GMT', 'Fri, 25 May 2018 18:42:07 GMT', 'Tue, 19 Dec 2017 23:32:10 GMT', 'Fri, 27 Oct 2017 21:35:41 GMT']",1,"['http://studenthealth.sa.ucsb.edu', 'http://studenthealth.sa.ucsb.edu/insurance/gap']",1
University of California Santa Cruz,https://healthcenter.ucsc.edu,6,"['https://healthcenter.ucsc.edu/forms/student-handbook/HC-258-Genital-warts-and-HPV.pdf', 'https://healthcenter.ucsc.edu/information/common-reasons.html', 'https://healthcenter.ucsc.edu/information/index.html', 'https://healthcenter.ucsc.edu/forms/2019-2020-uc-sant-cruz-benefits-form-final-10.8.2019.pdf']",1843,72.2,6.12,9,4,4,0,0,1,0,0.099,0.614,0.068,"['Tue, 23 Jun 2020 20:11:09 GMT', 'Tue, 23 Jun 2020 20:11:10 GMT', -1, -1, 'Tue, 23 Jun 2020 20:11:09 GMT', 'Thu, 13 Aug 2020 21:32:10 GMT']",0,['https://healthcenter.ucsc.edu'],1
California State University Maritime Academy,https://www.csum.edu/web/health-services,1,['https://www.csum.edu/web/health-services/womens-health.html'],784,44.14,11.87,1,1,0,0,0,0,0,0.041,0.761,0.06,"['Thu, 13 Aug 2020 20:38:24 GMT']",1,"['https://www.csum.edu/web/health-services', 'https://www.csum.edu/web/health-services/womens-health.html']",1
Humboldt State University,https://wellbeing.humboldt.edu,1,['https://wellbeing.humboldt.edu/sexual-health'],1364,-9.45,29.81,3,1,1,0,0,1,0,0.039,0.409,0.352,[-1],2,"['https://wellbeing.humboldt.edu', 'https://wellbeing.humboldt.edu/clone-medical-pharmacy', 'https://wellbeing.humboldt.edu/sexual-health']",1
San Diego State University,https://sa.sdsu.edu/student-health-services,,,,,,,,,,,,,,,,,,,0
San Francisco State University,https://health.sfsu.edu,6,"['https://health.sfsu.edu/content/womens-services', 'https://health.sfsu.edu/content/women-who-have-sex-women', 'https://health.sfsu.edu/birth-control-and-sexual-health', 'https://health.sfsu.edu/content/appointments', 'https://health.sfsu.edu/content/financial-information']",5199,82.99,4.64,13,5,2,0,0,6,0,0.119,0.558,0.166,"['Sun, 16 Aug 2020 12:30:41 GMT', 'Sun, 16 Aug 2020 12:30:41 GMT', 'Sun, 16 Aug 2020 12:30:42 GMT', 'Sun, 16 Aug 2020 12:30:42 GMT', 'Sun, 16 Aug 2020 12:21:57 GMT', 'Wed, 18 Dec 2019 04:59:22 GMT']",1,"['https://health.sfsu.edu', 'https://health.sfsu.edu/content/appointments']",1
San Jose State University,https://www.sjsu.edu/studenthealth,,,,,,,,,,,,,,,,,,,0
Sonoma State University,https://health.sonoma.edu,10,"['http://health.sonoma.edu/services/appointments/reproductive-health/reproductive-health-exampap-smear', 'http://health.sonoma.edu/services/appointments/reproductive-health/birth-control', 'http://health.sonoma.edu/services/appointments/reproductive-health', 'http://health.sonoma.edu/services/appointments/womens-health/emergency-contraception', 'http://health.sonoma.edu/services/appointments/womens-health/pregnancy-testing', 'https://health.sonoma.edu/faq/what-campus-healthcare-services-are-available-my-student', 'https://health.sonoma.edu/about/consumer-information/catalog', 'https://health.sonoma.edu/services/laboratory']",4456,66.26,7.81,13,6,0,0,0,6,1,0.099,0.651,0.105,"['Sun, 16 Aug 2020 12:30:48 GMT', 'Sun, 16 Aug 2020 12:30:50 GMT', 'Sun, 16 Aug 2020 12:30:51 GMT', 'Sun, 16 Aug 2020 12:30:53 GMT', 'Sun, 16 Aug 2020 12:30:54 GMT', 'Sun, 16 Aug 2020 12:30:56 GMT', 'Sun, 16 Aug 2020 12:30:57 GMT', 'Sun, 16 Aug 2020 12:30:59 GMT', 'Sun, 16 Aug 2020 12:31:00 GMT', 'Wed, 03 Jul 2019 21:03:03 GMT']",2,"['https://health.sonoma.edu', 'https://health.sonoma.edu/services', 'https://health.sonoma.edu/services/laboratory']",1
University of Colorado Denver/Anschutz Medical Campus,https://nursing.cuanschutz.edu,10,"['https://nursing.cuanschutz.edu/patient-care/sheridan-health-services/profile/jian-jing-ucd3121', 'https://nursing.cuanschutz.edu/docs/librariesprovider2/preceptor-documents/whnp-preceptor-guidelines.pdf?sfvrsn=2cd47b9_9', 'https://nursing.cuanschutz.edu/patient-care/sheridan-health-services/sheridan-health-services-provided', 'https://nursing.cuanschutz.edu/patient-care/campus-health-center', 'https://nursing.cuanschutz.edu/docs/default-source/people-documents/college-of-nursing-people-documents/faculty-cvs/erica-sherer-cv.pdf?sfvrsn=ce789eb8_2', 'https://nursing.cuanschutz.edu/docs/default-source/people-documents/college-of-nursing-people-documents/faculty-cvs/krista-estes-cv89653be5302864d9a5bfff0a001ce385.pdf?sfvrsn=4c4d5fb9_0']",113459,60.33,7.29,1,0,0,0,0,1,0,0.037,0.864,0.001,"['Sun, 16 Aug 2020 08:52:48 GMT', 'Thu, 07 Mar 2019 17:52:33 GMT', 'Tue, 17 Sep 2019 16:08:01 GMT', 'Sun, 16 Aug 2020 08:53:07 GMT', 'Thu, 07 Mar 2019 17:52:37 GMT', 'Fri, 14 Aug 2020 23:49:51 GMT', 'Thu, 07 Mar 2019 17:52:34 GMT', 'Thu, 07 Mar 2019 17:52:33 GMT', 'Tue, 18 Feb 2020 19:32:54 GMT', 'Mon, 02 Dec 2019 20:33:42 GMT']",2,"['https://nursing.cuanschutz.edu', 'https://nursing.cuanschutz.edu/academics/graduate-programs/masters-dnp-phd/doctor-of-nursing-degree', 'https://nursing.cuanschutz.edu/docs/librariesprovider2/program-documents/plans-of-study/graduate-specialities/vhmc/vmhc-leadership-dnp-plans-of-study.pdf?sfvrsn=7415fb9_2']",1
University of Colorado Colorado Springs,https://uccs.edu/recwellness,,,,,,,,,,,,,,,,,,,0
University of Colorado Boulder,https://www.colorado.edu/healthcenter,1,['https://www.colorado.edu/healthcenter/services/sexual-and-reproductive-health'],923,41.55,10.94,2,0,0,0,0,1,1,0.032,0.481,0.204,"['Sun, 16 Aug 2020 05:56:57 GMT']",1,"['https://www.colorado.edu/healthcenter', 'https://www.colorado.edu/healthcenter/services/sexual-and-reproductive-health']",1
Colorado School of Mines,https://www.mines.edu/student-health,2,['https://www.mines.edu/student-health/student-health-center/services/'],371,75.67,5.37,2,1,1,0,0,0,0,0.066,0.664,0.168,"[-1, -1]",1,"['https://www.mines.edu/student-health', 'https://www.mines.edu/student-health/student-health-center/services/']",1
Colorado State University Fort Collins,https://health.colostate.edu,2,"['https://health.colostate.edu/womens-care/', 'https://health.colostate.edu/sexual-health-resources/']",5097,80.6,5.78,4,3,1,0,0,0,0,0.061,0.545,0.194,"['Sun, 16 Aug 2020 05:07:08 GMT', 'Sun, 16 Aug 2020 09:08:13 GMT']",-1,[],1
Fort Lewis College,https://www.fortlewis.edu/life-at-flc/health-safety/health-center,2,"['https://www.fortlewis.edu/life-at-flc/health-safety/health-center/medical-services-and-fees/medical-services', 'https://www.fortlewis.edu/life-at-flc/health-safety/health-center/health-promotion']",1130,77.16,4.8,2,0,0,0,0,1,1,0.047,0.768,0.123,"[-1, -1]",1,"['https://www.fortlewis.edu/life-at-flc/health-safety/health-center', 'https://www.fortlewis.edu/life-at-flc/health-safety/health-center/health-promotion']",1
Colorado Mesa University,https://www.coloradomesa.edu/student-services/wellness,1,['https://www.coloradomesa.edu/student-services/wellness/medical-services.html'],994,58.1,8.01,2,1,1,0,0,0,0,0.048,0.763,0.06,[-1],1,"['https://www.coloradomesa.edu/student-services/wellness', 'https://www.coloradomesa.edu/student-services/wellness/medical-services.html']",1
Metropolitan State University of Denver,https://www.msudenver.edu/healthcenter,1,['https://www.msudenver.edu/healthcenter/healthinsurance/healthinsurance101/'],1562,75.41,6.55,2,1,1,0,0,0,0,0.034,0.59,0.176,"['Tue, 25 Feb 2020 02:34:25 GMT']",2,"['https://www.msudenver.edu/healthcenter', 'https://www.msudenver.edu/healthcenter/healthinsurance/', 'https://www.msudenver.edu/healthcenter/healthinsurance/healthinsurance101/']",1
University of Northern Colorado,https://www.unco.edu/student-health-center,1,['https://www.unco.edu/student-health-center/services/well-woman-health.aspx'],436,88.35,3.56,3,2,1,0,0,0,0,0.069,0.836,-0.058,[-1],2,"['https://www.unco.edu/student-health-center', 'https://www.unco.edu/student-health-center/tuberculosis-testing.aspx', 'https://www.unco.edu/student-health-center/high-incidence-countries.docx']",1
Colorado State University Pueblo,https://www.csupueblo.edu/student-health-services,,,,,,,,,,,,,,,,,,,0
Western State Colorado University,https://western.edu/student-life/health-wellness,,,,,,,,,,,,,,,,,,,0
Central Connecticut State University,https://web.ccsu.edu/healthservices/?redirected,,,,,,,,,,,,,,,,,,,0
University of Connecticut,https://shs.uconn.edu,3,['https://shs.uconn.edu/general-faq/'],1634,71.65,7.34,1,1,0,0,0,0,0,0.063,0.551,0.101,"[-1, -1, 'Tue, 09 Sep 2014 20:31:52 GMT']",1,"['https://shs.uconn.edu', 'https://shs.uconn.edu/general-faq/']",1
Eastern Connecticut State University,https://www.easternct.edu/health-services,2,['https://www.easternct.edu/health-services/services/womens-health-services.html'],397,65.33,7.58,3,1,0,0,0,2,0,0.084,0.51,0.213,"['Sun, 16 Aug 2020 04:14:26 GMT', 'Sun, 16 Aug 2020 05:30:58 GMT']",1,"['https://www.easternct.edu/health-services', 'https://www.easternct.edu/health-services/services/womens-health-services.html']",1
Southern Connecticut State University,https://inside.southernct.edu/health-services,1,['https://inside.southernct.edu/health-services/services'],1156,62.93,7.54,2,1,1,0,0,0,0,0.038,0.76,0.24,"['Sun, 16 Aug 2020 01:43:51 GMT']",1,"['https://inside.southernct.edu/health-services', 'https://inside.southernct.edu/health-services/services']",1
Western Connecticut State University,https://www.wcsu.edu/healthservices,,,,,,,,,,,,,,,,,,,0
Delaware State University,https://www.desu.edu/student-life/student-health-services,,,,,,,,,,,,,,,,,,,0
University of Delaware,https://sites.udel.edu/studenthealth,2,"['https://sites.udel.edu/studenthealth/women/', 'https://sites.udel.edu/studenthealth/services/']",3158,53.58,11.09,5,3,2,0,0,0,0,0.057,0.636,0.168,"[-1, -1]",1,"['https://sites.udel.edu/studenthealth', 'https://sites.udel.edu/studenthealth/services/']",1
University of the District of Columbia,https://www.udc.edu/health-services,,,,,,,,,,,,,,,,,,,0
University of Central Florida,https://studenthealth.ucf.edu,6,"['https://studenthealth.ucf.edu/wp-content/uploads/sites/12/2017/03/Who-Needs-a-Pap-Test1.pdf', 'https://studenthealth.ucf.edu/services/primary-care/womens-clinic/', 'https://studenthealth.ucf.edu/services/primary-care/', 'https://studenthealth.ucf.edu/forms/', 'https://studenthealth.ucf.edu/resources/']",2029,63.15,7.15,4,2,0,0,0,2,0,0.082,0.569,0.183,"['Mon, 13 Mar 2017 18:45:24 GMT', 'Mon, 13 Mar 2017 16:28:13 GMT', -1, -1, -1, -1]",0,['https://studenthealth.ucf.edu'],1
Chipola College,http://www.chipola.edu/404,,,,,,,,,,,,,,,,,,,0
Florida SouthWestern State College,https://www.fsw.edu/publichealthresources,,,,,,,,,,,,,,,,,,,0
Florida Agricultural and Mechanical University,http://www.famu.edu,7,"['https://www.famu.edu/index.cfm?a=headlines&p=display&news=807&archive', 'http://www.famu.edu/index.cfm?shs&ClinicalServicesandPsychiatry', 'https://www.famu.edu/alliedHealth/Cancer%20facts%20and%20figures%20for%20African%20Americans.pdf', 'http://www.famu.edu/alliedHealth/SOAHS%20NEWSLETTER%20pub%20webOpt.pdf']",6324,53.76,10.04,2,0,0,0,0,2,0,0.053,0.71,0.021,"[-1, -1, 'Mon, 18 Apr 2016 14:11:17 GMT', 'Fri, 07 Sep 2012 20:20:45 GMT', 'Tue, 28 Aug 2012 22:10:54 GMT', 'Fri, 07 Sep 2012 20:22:54 GMT', 'Mon, 27 Aug 2012 22:29:15 GMT']",2,"['http://www.famu.edu', 'http://www.famu.edu/index.cfm?a=generalcounsel', 'http://www.famu.edu/generalcounsel/University%20Policy%20Template%20%2010.3.17.doc']",1
Florida Atlantic University,https://www.fau.edu/shs,10,"['http://www.fau.edu/shs/services/womens_pelvic_exam_faq.php', 'http://www.fau.edu/shs/services/womens.php', 'http://www.fau.edu/shs/_old/clinic/boca/boca-womens_clinic.php', 'http://www.fau.edu/shs/PDFs/HealthHistoryForm.pdf', 'http://www.fau.edu/shs/_old/brochures/browardshs-brochure.php', 'http://www.fau.edu/shs/_old/brochures/jupitershs-brochure.php', 'https://www.fau.edu/shs/services/womens_facts_about_pill.php', 'http://www.fau.edu/shs/_old/brochures/bocashs-brochure.php']",6628,68.32,7.84,30,15,2,0,0,13,0,0.135,0.544,0.129,"[-1, -1, -1, 'Mon, 03 Jun 2019 16:02:58 GMT', 'Wed, 08 Jul 2015 13:43:31 GMT', -1, 'Fri, 10 Jan 2020 22:26:31 GMT', -1, -1, -1]",1,"['https://www.fau.edu/shs', 'https://www.fau.edu/shs/services/womens.php']",1
