University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Condom,Condoms,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
University of Central Arkansas,https://uca.edu/studenthealth,,,,,,,,,,,,,,,0
Henderson State University,https://www.hsu.edu/pages/about/administration/student-affairs-and-student-success/student-health-and-counseling,,,,,,,,,,,,,,,0
Southern Arkansas University Main Campus,https://web.saumag.edu/health,,,,,,,,,,,,,,,0
University of Arkansas Fort Smith,https://campuslife.uafs.edu/services/health-center,,,,,,,,,,,,,,,0
California Polytechnic State University San Luis Obispo,https://chw.calpoly.edu,1,['https://chw.calpoly.edu/eros'],435,61.91,8.98,2,1,1,0.024,0.521,0.279,"['Fri, 14 Aug 2020 10:08:02']",3,"['https://chw.calpoly.edu', 'https://chw.calpoly.edu/wellbeing-services', 'https://chw.calpoly.edu/peer-wellness-program-teams', 'https://chw.calpoly.edu/eros']",1
California State University Bakersfield,https://www.csub.edu/healthcenter,3,"['https://www.csub.edu/healthcenter/Services/women/index.html', 'https://www.csub.edu/healthcenter/Services/pharmacy/index.html', 'https://www.csub.edu/healthcenter/information/pact/index.html']",2059,57.02,9.02,6,3,3,0.029,0.571,0.097,"['Sat, 15 Aug 2020 09:39:55 GMT', 'Sat, 15 Aug 2020 09:39:53 GMT', 'Sat, 15 Aug 2020 09:39:51 GMT']",2,"['https://www.csub.edu/healthcenter', 'https://www.csub.edu/healthcenter/Services/index.html', 'https://www.csub.edu/healthcenter/Services/women/index.html']",1
California State University Stanislaus,https://www.csustan.edu/health-center,,,,,,,,,,,,,,,0
California State University San Bernardino,https://www.csusb.edu/student-health-center,2,"['https://www.csusb.edu/student-health-center/family-pact', 'https://www.csusb.edu/student-health-center/health-promotion/health-promotion-workshop-request-form']",2075,78.88,5.24,7,5,2,0.052,0.52,0.157,"['Sun, 16 Aug 2020 18:26:13 GMT', 'Sun, 16 Aug 2020 18:26:14 GMT']",1,"['https://www.csusb.edu/student-health-center', 'https://www.csusb.edu/student-health-center/family-pact']",1
California State Polytechnic University Pomona,https://www.cpp.edu/health,10,"['https://www.cpp.edu/health/health-services/otc_produts.shtml', 'https://www.cpp.edu/health/health-topics/sexual-health-resources.shtml', 'https://www.cpp.edu/health/health-topics/latex-barriers.shtml', 'https://www.cpp.edu/health/wellness-center/wellness-card.shtml', 'https://www.cpp.edu/health/health-topics/pregnancy-prevention.shtml', 'https://www.cpp.edu/health/health-services/emergency-contraceptives.shtml', 'https://www.cpp.edu/health/health-topics/hiv.shtml', 'https://www.cpp.edu/health/about-us/fee-schedule.shtml', 'https://www.cpp.edu/health/health-topics/get-tested.shtml']",7557,79.92,5.42,80,49,31,0.116,0.593,0.11,"[-1, -1, -1, -1, -1, 'Tue, 14 Jan 2020 17:08:10 GMT', -1, -1, -1, -1]",1,"['https://www.cpp.edu/health', 'https://www.cpp.edu/health/about-us/fee-schedule.shtml']",1
California State University Chico,https://www.csuchico.edu/healthcenter,6,"['https://www.csuchico.edu/healthcenter/services/pharmacy/index.shtml', 'https://www.csuchico.edu/healthcenter/services/health-education.shtml', 'https://www.csuchico.edu/healthcenter/about/familypact/index.shtml', 'https://www.csuchico.edu/healthcenter/about/familypact/nexplanon-faq.shtml']",3115,42.13,11.65,2,2,0,0.027,0.575,0.121,"[-1, 'Fri, 10 Jul 2020 00:04:51 GMT', -1, -1, 'Fri, 10 Jul 2020 00:04:49 GMT', -1]",1,"['https://www.csuchico.edu/healthcenter', 'https://www.csuchico.edu/healthcenter/services/health-education.shtml']",1
California State University Dominguez Hills,https://www.csudh.edu/shps,,,,,,,,,,,,,,,0
California State University Fresno,http://www.fresnostate.edu/studentaffairs/health,4,"['http://www.fresnostate.edu/studentaffairs/health/medical/sexual-health.html', 'http://www.fresnostate.edu/studentaffairs/health/medical/pharmacy.html']",1326,74.79,5.36,4,2,2,0.034,0.608,0.154,"['Tue, 15 Aug 2017 16:39:34 GMT', -1, -1, 'Fri, 23 Jan 2015 20:33:35 GMT']",-1,[],1
California State University Fullerton,http://www.fullerton.edu/health,,,,,,,,,,,,,,,0
California State University East Bay,https://www.csueastbay.edu/shcs,5,"['https://www.csueastbay.edu/shcs/services/womens-health.html', 'https://www.csueastbay.edu/shcs/files/docs/ncha-exec-summary-2012.pdf', 'https://www.csueastbay.edu/shcs/files/docs/ncha-ii-web-spring-2018.PDF']",11484,18.63,15.09,14,7,7,0.084,0.698,0.067,"[-1, 'Mon, 10 Aug 2020 05:01:12 GMT', 'Mon, 10 Aug 2020 05:01:15 GMT', 'Mon, 10 Aug 2020 05:01:18 GMT', 'Mon, 10 Aug 2020 05:01:17 GMT']",1,"['https://www.csueastbay.edu/shcs', 'https://www.csueastbay.edu/shcs/services/womens-health.html']",1
California State University Long Beach,https://web.csulb.edu/divisions/students/shs,5,"['https://web.csulb.edu/divisions/students/shs/services/familypact.html', 'https://web.csulb.edu/divisions/students/shs/faq.html', 'https://web.csulb.edu/divisions/students/shs/services/pharmacy.html', 'https://web.csulb.edu/divisions/students/shs/wellness/programs/peer_educator.html', 'http://web.csulb.edu/divisions/students/shs/sensitive_exams.html']",4994,62.78,8.09,9,5,4,0.042,0.493,0.196,"[-1, -1, -1, -1, -1]",1,"['https://web.csulb.edu/divisions/students/shs', 'https://web.csulb.edu/divisions/students/shs/services/pharmacy.html']",1
California State University Los Angeles,https://www.calstatela.edu/studenthealthcenter,4,"['https://www.calstatela.edu/studenthealthcenter/zika-virus-disease', 'http://www.calstatela.edu/studenthealthcenter/safe/sexual-violence-and-misconduct', 'http://www.calstatela.edu/studenthealthcenter/safe/prevention', 'https://www.calstatela.edu/studenthealthcenter/safe/dating-and-domestic-violence']",12786,66.65,8.16,35,22,13,0.059,0.468,0.147,"['Sun, 16 Aug 2020 18:30:31 GMT', -1, -1, 'Sun, 16 Aug 2020 18:30:33 GMT']",1,"['https://www.calstatela.edu/studenthealthcenter', 'https://www.calstatela.edu/studenthealthcenter/zika-virus-disease']",1
California State University Northridge,https://www.csun.edu/shc,2,"['https://www.csun.edu/shc/news/cdc-health-advisory', 'https://www.csun.edu/shc/assessment-and-evaluation']",2499,41.69,14.91,6,3,3,0.024,0.423,0.105,"['Sun, 16 Aug 2020 18:31:35 GMT', 'Sun, 16 Aug 2020 18:31:35 GMT']",1,"['https://www.csun.edu/shc', 'https://www.csun.edu/shc/assessment-and-evaluation']",1
California State University Sacramento,https://www.csus.edu/student-life/health-counseling,5,"['https://www.csus.edu/student-life/health-counseling/wellness-education/services.html', 'https://www.csus.edu/student-life/health-counseling/_internal/_documents/impact-statement-text-only.pdf', 'https://www.csus.edu/student-life/health-counseling/sexual-violence-support/_internal/_documents/rights-and-options-for-victims-of-sexual-misconduct.pdf']",793,76.14,5.38,8,5,3,0.09,0.5,0.111,"[-1, 'Tue, 11 Aug 2020 22:42:25 GMT', 'Tue, 11 Aug 2020 22:42:26 GMT', 'Thu, 30 Jul 2020 00:07:59 GMT', 'Fri, 19 Jun 2020 21:58:49 GMT']",2,"['https://www.csus.edu/student-life/health-counseling', 'https://www.csus.edu/student-life/health-counseling/wellness-education/index.html', 'https://www.csus.edu/student-life/health-counseling/wellness-education/services.html']",1
University of California Berkeley,https://uhs.berkeley.edu,10,"['https://uhs.berkeley.edu/medical/primary-care/sexual-health-care-tang/get-protected-sexual-health-care-tang', 'https://uhs.berkeley.edu/medical/primary-care/sexual-health-care-tang', 'https://uhs.berkeley.edu/sites/default/files/hp-doyousex.pdf', 'https://uhs.berkeley.edu/sites/default/files/birth-control_across_genders.pdf', 'https://uhs.berkeley.edu/medical/pharmacy', 'https://uhs.berkeley.edu/health-topics/sexual-health']",4526,70.93,7.42,79,47,32,0.143,0.467,0.222,"['Sun, 16 Aug 2020 18:32:51 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Sun, 16 Aug 2020 18:32:52 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Sun, 16 Aug 2020 18:32:54 GMT', -1, 'Sun, 16 Aug 2020 18:32:56 GMT']",1,"['https://uhs.berkeley.edu', 'https://uhs.berkeley.edu/medical/pharmacy']",1
University of California Davis,https://shcs.ucdavis.edu,10,"['https://shcs.ucdavis.edu/topics/condom-external', 'https://shcs.ucdavis.edu/services/love-lab', 'https://shcs.ucdavis.edu/topics/condom-internal', 'https://shcs.ucdavis.edu/wellnesstogo', 'https://shcs.ucdavis.edu/blog/archive/safer-sex-your-body-and-pleasure', 'https://shcs.ucdavis.edu/topics/sexually-transmitted-infections-sti', 'https://shcs.ucdavis.edu/blog/archive/sharing-love-love-lab-10-year-anniversary', 'https://shcs.ucdavis.edu/topics/birth-control-contraception', 'https://shcs.ucdavis.edu/blog/archive/healthy-habits/are-you-sexcessful', 'https://shcs.ucdavis.edu/topics/emergency-contraception-ec']",11932,69.36,7.75,169,120,49,0.146,0.574,0.175,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://shcs.ucdavis.edu', 'https://shcs.ucdavis.edu/topics/birth-control-contraception']",1
University of California Irvine,https://shc.uci.edu,2,['https://shc.uci.edu/services/online-sti-screening-program'],1249,58.48,11.74,1,1,0,0.02,0.621,0.04,"['Sun, 16 Aug 2020 17:26:11 GMT', 'Thu, 22 Feb 2018 21:07:16 GMT']",2,"['https://shc.uci.edu', 'https://shc.uci.edu/services', 'https://shc.uci.edu/services/online-sti-screening-program']",1
University of California Los Angeles,https://www.studenthealth.ucla.edu,3,"['https://www.studenthealth.ucla.edu/service/pharmacy', 'https://www.studenthealth.ucla.edu/services/prep-clinic', 'https://www.studenthealth.ucla.edu/outreach-and-supply-requests']",1135,70.23,7.66,4,2,2,0.027,0.619,0.058,"[-1, -1, -1]",1,"['https://www.studenthealth.ucla.edu', 'https://www.studenthealth.ucla.edu/services/bruin-health-pharmacy']",1
University of California Riverside,https://studenthealth.ucr.edu,1,['https://studenthealth.ucr.edu/preventive-care-disease-management'],446,72.34,5.88,2,1,1,0.025,0.456,0.333,"['Fri, 14 Aug 2020 21:55:44 GMT']",2,"['https://studenthealth.ucr.edu', 'https://studenthealth.ucr.edu/immunization-requirements', 'https://studenthealth.ucr.edu/sites/g/files/rcwecm1581/files/2018-12/TB%20Clearance%20form%202_11-2018_0.docx']",1
University of California San Diego,https://wellness.ucsd.edu/studenthealth/Pages,,,,,,,,,,,,,,,0
University of California Santa Barbara,http://studenthealth.sa.ucsb.edu,10,"['http://studenthealth.sa.ucsb.edu/medical-services/reproductiveandsexualhealth/hiv-prep', 'https://studenthealth.sa.ucsb.edu/docs/default-source/default-document-library/travel-products-at-ucsb-pharmacy.pdf?sfvrsn=0', 'http://studenthealth.sa.ucsb.edu/health-topics/hiv-and-aids', 'https://studenthealth.sa.ucsb.edu/docs/default-source/Travel/travel-otc-form.pdf?sfvrsn=0', 'http://studenthealth.sa.ucsb.edu/docs/default-source/default-document-library/health-history-form.pdf?sfvrsn=0']",174430,70.02,7.2,4,2,2,0.023,0.494,0.181,"['Tue, 23 Jan 2018 23:50:36 GMT', -1, 'Mon, 23 May 2016 22:11:41 GMT', 'Tue, 10 May 2016 21:27:06 GMT', 'Mon, 23 May 2016 22:11:16 GMT', -1, 'Fri, 31 Oct 2014 15:42:35 GMT', 'Thu, 05 May 2016 19:03:23 GMT', 'Thu, 27 Feb 2020 19:49:51 GMT', 'Wed, 11 Jul 2018 18:23:25 GMT']",1,"['http://studenthealth.sa.ucsb.edu', 'http://studenthealth.sa.ucsb.edu/docs/default-source/hours---after-hours-or-clinic-hours/after-hours_20200721_final.pdf?sfvrsn=1c94f4ab_2']",1
University of California Santa Cruz,https://healthcenter.ucsc.edu,10,"['https://healthcenter.ucsc.edu/services/birthcontrol.html', 'https://healthcenter.ucsc.edu/pharmacy/faq/contraceptives.html', 'https://healthcenter.ucsc.edu/wellness/sex.html', 'https://healthcenter.ucsc.edu/pharmacy/services.html', 'https://healthcenter.ucsc.edu/location/index.html', 'https://healthcenter.ucsc.edu/forms/student-handbook/hc-748-testing-for-stis-2-15-19.pdf', 'https://healthcenter.ucsc.edu/forms/student-handbook/HC-745-Vaginal-Contraceptive-Ring.pdf']",3187,74.41,6.1,16,11,5,0.067,0.558,0.163,"[-1, -1, -1, -1, 'Tue, 23 Jun 2020 20:12:49 GMT', -1, 'Tue, 23 Jun 2020 20:12:58 GMT', 'Tue, 23 Jun 2020 20:12:49 GMT', 'Wed, 24 Jun 2020 19:03:43 GMT', 'Tue, 23 Jun 2020 20:12:50 GMT']",1,"['https://healthcenter.ucsc.edu', 'https://healthcenter.ucsc.edu/services/birthcontrol.html']",1
California State University Maritime Academy,https://www.csum.edu/web/health-services,1,['http://www.csum.edu/web/health-services/medical-services/'],969,70.07,7.26,4,2,2,0.039,0.516,0.126,"['Thu, 13 Aug 2020 20:38:09 GMT']",-1,[],1
Humboldt State University,https://wellbeing.humboldt.edu,9,"['https://wellbeing.humboldt.edu/sexual-health', 'https://wellbeing.humboldt.edu/vending-machines', 'https://wellbeing.humboldt.edu/sites/default/files/health/hsu_peerhealth_costanalysis.pdf', 'https://wellbeing.humboldt.edu/sites/default/files/health/PrEP%20for%20women%20who%20have%20sex%20with%20men.pdf', 'https://wellbeing.humboldt.edu/sensitive-exams', 'https://wellbeing.humboldt.edu/data-strategic-planning']",6308,60.29,10.83,14,8,6,0.046,0.588,0.07,"[-1, -1, 'Thu, 30 Jul 2020 00:54:41 GMT', 'Thu, 30 Jul 2020 00:54:38 GMT', 'Thu, 30 Jul 2020 00:54:36 GMT', 'Thu, 30 Jul 2020 00:54:32 GMT', -1, -1, 'Thu, 30 Jul 2020 00:54:44 GMT']",2,"['https://wellbeing.humboldt.edu', 'https://wellbeing.humboldt.edu/clone-medical-pharmacy', 'https://wellbeing.humboldt.edu/sensitive-exams']",1
San Diego State University,https://sa.sdsu.edu/student-health-services,,,,,,,,,,,,,,,0
San Francisco State University,https://health.sfsu.edu,4,"['https://health.sfsu.edu/content/women-who-have-sex-women', 'https://health.sfsu.edu/birth-control-and-sexual-health', 'https://health.sfsu.edu/content/womens-services']",3204,75.42,6.12,4,2,2,0.041,0.373,0.111,"['Wed, 18 Dec 2019 04:59:22 GMT', 'Sun, 16 Aug 2020 18:54:16 GMT', 'Sun, 16 Aug 2020 18:54:17 GMT', 'Sun, 16 Aug 2020 18:54:17 GMT']",1,"['https://health.sfsu.edu', 'https://health.sfsu.edu/birth-control-and-sexual-health']",1
San Jose State University,https://www.sjsu.edu/studenthealth,,,,,,,,,,,,,,,0
Sonoma State University,https://health.sonoma.edu,6,"['http://health.sonoma.edu/shac/activities-and-accomplishments', 'http://health.sonoma.edu/services/appointments/reproductive-health/birth-control', 'https://health.sonoma.edu/sites/health/files/u90/rhe_info.pdf', 'http://health.sonoma.edu/services/appointments/reproductive-health/reproductive-health-exampap-smear', 'https://health.sonoma.edu/health-topics/reproductive-health']",4395,74.63,6.13,6,3,3,0.025,0.675,0.052,"['Sun, 16 Aug 2020 17:26:28 GMT', 'Sun, 16 Aug 2020 17:26:30 GMT', 'Mon, 25 Mar 2019 20:01:07 GMT', 'Fri, 12 Jun 2020 16:43:13 GMT', 'Sun, 16 Aug 2020 17:26:31 GMT', 'Sun, 16 Aug 2020 17:26:33 GMT']",2,"['https://health.sonoma.edu', 'https://health.sonoma.edu/health-topics', 'https://health.sonoma.edu/health-topics/reproductive-health']",1
University of Colorado Denver/Anschutz Medical Campus,https://nursing.cuanschutz.edu,,,,,,,,,,,,,,,0
University of Colorado Colorado Springs,https://uccs.edu/recwellness,,,,,,,,,,,,,,,0
University of Colorado Boulder,https://www.colorado.edu/healthcenter,3,"['https://www.colorado.edu/healthcenter/sti', 'https://www.colorado.edu/healthcenter/services', 'https://www.colorado.edu/healthcenter/services/travel-clinic/during-and-after-your-trip']",1221,72.04,5.97,2,1,1,0.025,0.504,0.045,"['Sun, 16 Aug 2020 15:37:47 GMT', 'Sun, 16 Aug 2020 16:21:48 GMT', 'Sun, 16 Aug 2020 17:26:37 GMT']",1,"['https://www.colorado.edu/healthcenter', 'https://www.colorado.edu/healthcenter/services']",1
Colorado School of Mines,https://www.mines.edu/student-health,,,,,,,,,,,,,,,0
Colorado State University Fort Collins,https://health.colostate.edu,10,"['https://health.colostate.edu/condoms/', 'https://health.colostate.edu/sexual-health-resources/', 'https://health.colostate.edu/crews/', 'https://health.colostate.edu/sexual-health-initiatives/', 'https://health.colostate.edu/womens-care/', 'https://health.colostate.edu/presentation-request/', 'https://health.colostate.edu/wp-content/uploads/2019/01/IUD-Handout-PDF-.pdf', 'https://health.colostate.edu/increase-in-hepatitis-a-cases-in-colorado/', 'https://health.colostate.edu/presentation-request-form/']",13096,47.84,12.35,111,65,46,0.11,0.571,0.175,"['Sun, 16 Aug 2020 17:26:42 GMT', 'Sun, 16 Aug 2020 09:08:13 GMT', 'Sun, 16 Aug 2020 07:13:11 GMT', 'Sun, 16 Aug 2020 08:09:07 GMT', 'Sun, 16 Aug 2020 05:07:08 GMT', 'Sun, 16 Aug 2020 03:07:14 GMT', 'Fri, 02 Aug 2019 19:41:53 GMT', 'Tue, 29 Jan 2019 19:54:37 GMT', 'Sat, 15 Aug 2020 20:10:03 GMT', 'Sun, 16 Aug 2020 10:08:07 GMT']",-1,[],1
Fort Lewis College,https://www.fortlewis.edu/life-at-flc/health-safety/health-center,2,"['https://www.fortlewis.edu/life-at-flc/health-safety/health-center/faq', 'https://www.fortlewis.edu/life-at-flc/health-safety/health-center/medical-services-and-fees/medical-services']",1405,68.27,6.77,4,2,2,0.025,0.612,0.072,"[-1, -1]",1,"['https://www.fortlewis.edu/life-at-flc/health-safety/health-center', 'https://www.fortlewis.edu/life-at-flc/health-safety/health-center/faq']",1
Colorado Mesa University,https://www.coloradomesa.edu/student-services/wellness,,,,,,,,,,,,,,,0
Metropolitan State University of Denver,https://www.msudenver.edu/healthcenter,1,['https://www.msudenver.edu/healthcenter/medicalservices/freeclinicalservices/'],1464,79.61,5.65,2,2,0,0.042,0.756,0.006,"['Tue, 25 Feb 2020 01:53:22 GMT']",2,"['https://www.msudenver.edu/healthcenter', 'https://www.msudenver.edu/healthcenter/medicalservices/', 'https://www.msudenver.edu/healthcenter/medicalservices/freeclinicalservices/']",1
University of Northern Colorado,https://www.unco.edu/student-health-center,5,"['https://www.unco.edu/student-health-center/health-topics/zika-virus.aspx', 'https://www.unco.edu/student-health-center/health-topics/chlamydia.aspx', 'https://www.unco.edu/student-health-center/health-topics/genital-warts-hpv.aspx', 'https://www.unco.edu/student-health-center/health-topics/genital-herpes.aspx', 'https://www.unco.edu/student-health-center/health-topics/gonorrhea.aspx']",3315,82.82,4.47,31,19,12,0.084,0.557,0.062,"[-1, -1, -1, -1, -1]",2,"['https://www.unco.edu/student-health-center', 'https://www.unco.edu/student-health-center/forms.aspx', 'https://www.unco.edu/student-health-center/pdf/consent-to-treat.docx']",1
Colorado State University Pueblo,https://www.csupueblo.edu/student-health-services,,,,,,,,,,,,,,,0
Western State Colorado University,https://western.edu/student-life/health-wellness,,,,,,,,,,,,,,,0
Central Connecticut State University,https://web.ccsu.edu/healthservices/?redirected,,,,,,,,,,,,,,,0
University of Connecticut,https://shs.uconn.edu,,,,,,,,,,,,,,,0
Eastern Connecticut State University,https://www.easternct.edu/health-services,,,,,,,,,,,,,,,0
Southern Connecticut State University,https://inside.southernct.edu/health-services,1,['https://inside.southernct.edu/health-services/services'],1156,65.93,6.48,2,1,1,0.026,0.783,0.061,"['Sun, 16 Aug 2020 19:04:37 GMT']",1,"['https://inside.southernct.edu/health-services', 'https://inside.southernct.edu/health-services/services']",1
Western Connecticut State University,https://www.wcsu.edu/healthservices,,,,,,,,,,,,,,,0
Delaware State University,https://www.desu.edu/student-life/student-health-services,,,,,,,,,,,,,,,0
University of Delaware,https://sites.udel.edu/studenthealth,3,"['http://sites.udel.edu/studenthealth/men/', 'https://sites.udel.edu/studenthealth/women/']",1730,50.39,9.17,4,2,2,0.035,0.543,0.143,"[-1, -1, -1]",2,"['https://sites.udel.edu/studenthealth', 'https://sites.udel.edu/studenthealth/services/', 'https://sites.udel.edu/studenthealth/men/']",1
University of the District of Columbia,https://www.udc.edu/health-services,,,,,,,,,,,,,,,0
University of Central Florida,https://studenthealth.ucf.edu,4,"['https://studenthealth.ucf.edu/wp-content/uploads/sites/12/2017/03/STIs1.pdf', 'https://studenthealth.ucf.edu/zika/']",1115,65.01,7.96,12,6,6,0.053,0.554,0.134,"['Mon, 13 Mar 2017 18:52:55 GMT', 'Mon, 13 Mar 2017 18:50:58 GMT', -1, 'Mon, 13 Mar 2017 18:53:43 GMT']",0,['https://studenthealth.ucf.edu'],1
Chipola College,http://www.chipola.edu/404,,,,,,,,,,,,,,,0
Florida SouthWestern State College,https://www.fsw.edu/publichealthresources,,,,,,,,,,,,,,,0
