University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Birth Control,IUD,Progesterone IUD,Progestin,Hormonal IUD,Mirena,Skyla,Kyleena,Liletta,Copper IUD,Non-Hormonal IUD,Nonhormonal IUD,Paragard,Contraceptive implant,Nexplanon,Contraceptive injection,Control shot,Depo-Provera,Depo,emergency contraception,emergency contraceptives,morning after pill,Plan B,levonorgestrel,ella,ulipristal acetate,contraceptive pill,control pill,diaphragm,spermicide,contraceptive patch,control patch,vaginal ring,control ring,contraceptive ring,cervical cap,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
University of Montevallo,https://www.montevallo.edu/campus-life/student-services/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of North Alabama,https://www.una.edu/healthservices,2,"['https://www.una.edu/healthservices/health-tips/sexual-health.html', 'https://www.una.edu/healthservices/available-services-/pap-smear-recommendations.html']",1824,62.27,9.09,13,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0.095,0.462,0.194,"[-1, -1]",-1,[],1
University of South Alabama,https://www.southalabama.edu/departments/studenthealth,1,['https://www.southalabama.edu/departments/studenthealth/travelmedicine.html'],1550,74.54,5.76,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.021,0.427,0.089,[-1],1,"['https://www.southalabama.edu/departments/studenthealth', 'https://www.southalabama.edu/departments/studenthealth/travelmedicine.html']",1
Troy University,https://www.troy.edu/student-life-resources/student-resources/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alaska Anchorage,https://www.uaa.alaska.edu/students/health-safety/health-counseling-center,2,"['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml', 'https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/physical-health.cshtml']",7632,78.65,4.7,20,2,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.082,0.654,0.128,"[-1, -1]",1,"['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center', 'https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/physical-health.cshtml']",1
University of Alaska Fairbanks,https://uaf.edu/chc,1,['https://uaf.edu/chc/eligibility-fees.php'],760,81.69,4.28,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.019,0.399,0.2,[-1],1,"['https://uaf.edu/chc', 'https://uaf.edu/chc/eligibility-fees.php']",1
University of Alaska Southeast,https://www.uas.alaska.edu/juneau/health,2,"['https://www.uas.alaska.edu/juneau/health/services.html', 'https://www.uas.alaska.edu/juneau/health/resources.html']",2050,51.84,10.56,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.026,0.573,0.16,"[-1, -1]",1,"['https://www.uas.alaska.edu/juneau/health', 'https://www.uas.alaska.edu/juneau/health/resources.html']",1
Arizona State University Tempe,https://eoss.asu.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arizona,https://health.arizona.edu,17,"['https://health.arizona.edu/birth-control-prescriptions', 'https://health.arizona.edu/contraception', 'https://health.arizona.edu/womens-health', 'https://health.arizona.edu/file/404', 'https://health.arizona.edu/file/423', 'https://health.arizona.edu/sextalk-column', 'https://health.arizona.edu/sites/default/files/sextalk_11_07_16_online.pdf', 'https://health.arizona.edu/pregnancy', 'https://health.arizona.edu/file/396', 'https://health.arizona.edu/resources-1', 'https://health.arizona.edu/sites/default/files/sextalk-04.11.18-online.pdf', 'https://www.health.arizona.edu/sites/default/files/1718_plandesignbenefit_summary_x.pdf']",5077,81.85,4.49,34,16,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,3,0,3,3,0,0,0,0,0,0,0,0,0.085,0.545,0.215,"['Sat, 15 Aug 2020 17:01:33 GMT', 'Sat, 15 Aug 2020 17:01:34 GMT', 'Sat, 15 Aug 2020 16:33:30 GMT', 'Sat, 15 Aug 2020 17:01:34 GMT', 'Sat, 15 Aug 2020 17:01:35 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Sat, 15 Aug 2020 17:01:35 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Sat, 15 Aug 2020 17:01:37 GMT', 'Sat, 15 Aug 2020 17:01:37 GMT', 'Sat, 15 Aug 2020 16:04:44 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:31 GMT']",1,"['https://health.arizona.edu', 'https://health.arizona.edu/womens-health']",1
Northern Arizona University,https://in.nau.edu/campus-health-services,7,"['https://in.nau.edu/campus-health-services/online-birth-control-module-unassigned/', 'https://in.nau.edu/campus-health-services/online-birth-control-class-assigned-module/', 'https://in.nau.edu/campus-health-services/sexual-health-programs/', 'https://in.nau.edu/campus-health-services/learn-about-sexual-health/', 'https://in.nau.edu/campus-health-services/medical-services/medical-staff-providers/', 'https://in.nau.edu/campus-health-services/sexual-health-resources/', 'https://in.nau.edu/campus-health-services/major-medical-insurance/']",4437,70.42,6.25,20,14,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0.601,0.182,"['Sat, 15 Aug 2020 14:55:55 GMT', 'Sat, 15 Aug 2020 14:55:56 GMT', 'Sat, 15 Aug 2020 14:55:56 GMT', 'Sat, 15 Aug 2020 14:55:57 GMT', 'Sat, 15 Aug 2020 14:55:57 GMT', 'Sat, 15 Aug 2020 14:55:58 GMT', 'Sat, 15 Aug 2020 14:55:58 GMT']",1,"['https://in.nau.edu/campus-health-services', 'https://in.nau.edu/campus-health-services/major-medical-insurance/']",1
University of Arkansas at Little Rock,https://ualr.edu/health,6,"['https://ualr.edu/health/womens-health-2/', 'https://ualr.edu/health/womens-health/', 'https://ualr.edu/health/services/', 'https://ualr.edu/health/annual-report-2016-17/', 'https://ualr.edu/health/annual-report-2015-2016/', 'https://ualr.edu/health/self-breast-exam/']",7892,62.8,8.39,59,21,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,8,0,0,0,5,5,0,0,5,0,4,0,0,0,0.089,0.622,0.154,"[-1, -1, -1, -1, -1, -1]",1,"['https://ualr.edu/health', 'https://ualr.edu/health/services/']",1
University of Arkansas,https://health.uark.edu,3,"['https://health.uark.edu/medical-health/womensclinic.php', 'https://health.uark.edu/coronavirus/caps-covid-19-resources-anxiety-workbook.pdf']",712,70.82,6.76,10,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.044,0.682,0.198,"[-1, 'Mon, 23 Sep 2019 13:26:42 GMT', 'Mon, 01 Jun 2020 21:42:29 GMT']",2,"['https://health.uark.edu', 'https://health.uark.edu/medical-health/index.php', 'https://health.uark.edu/medical-health/womensclinic.php']",1
University of Arkansas at Pine Bluff,https://www.uapb.edu/administration/student_affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Arkansas State University Main Campus,https://www.astate.edu/a/student-health-center,3,"['https://www.astate.edu/a/student-health-center/', 'https://www.astate.edu/a/student-health-center/files/Gastroesophageal%20Reflux.pdf']",581,71.46,6.39,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.721,0.057,"[-1, 'Thu, 01 Dec 2016 20:46:27 +0000', 'Thu, 01 Dec 2016 21:09:38 +0000']",0,['https://www.astate.edu/a/student-health-center'],1
Arkansas Tech University,https://www.atu.edu/hwc,9,"['https://www.atu.edu/hwc/wellwomanvisits.php', 'https://www.atu.edu/hwc/resources.php', 'https://www.atu.edu/hwc/docs/AIC_Brochure_07-08_for_website.pdf', 'https://www.atu.edu/hwc/docs/Arkansas_Student_Health_Insurance_Plan_Booklet_09-10.pdf', 'https://www.atu.edu/hwc/docs/UTI%20FINAL.pdf']",1479,80.91,4.18,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.707,0.115,"[-1, -1, 'Tue, 11 Jun 2019 23:50:22 GMT', 'Tue, 11 Jun 2019 23:50:22 GMT', 'Tue, 11 Jun 2019 23:50:22 GMT', 'Tue, 11 Jun 2019 23:50:22 GMT', 'Tue, 11 Jun 2019 23:50:21 GMT', 'Mon, 27 Apr 2020 18:22:50 GMT', 'Mon, 04 May 2020 17:26:39 GMT']",1,"['https://www.atu.edu/hwc', 'https://www.atu.edu/hwc/docs/release_of_information.doc']",1
University of Arkansas at Monticello,http://www.uamont.edu/pages/student-affairs/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Central Arkansas,https://uca.edu/studenthealth,2,"['https://uca.edu/studenthealth/womens-health-clinic-2/', 'https://uca.edu/studenthealth/womens-health-clinic']",702,74.2,6.2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0.54,0.048,"[-1, -1]",1,"['https://uca.edu/studenthealth', 'https://uca.edu/studenthealth/womens-health-clinic-2/']",1
Henderson State University,https://www.hsu.edu/pages/about/administration/student-affairs-and-student-success/student-health-and-counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Southern Arkansas University Main Campus,https://web.saumag.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arkansas Fort Smith,https://campuslife.uafs.edu/services/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California Polytechnic State University San Luis Obispo,https://chw.calpoly.edu,2,"['https://chw.calpoly.edu/specialty_clinics', 'https://chw.calpoly.edu/plan-b']",781,78.01,5.53,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.673,0.137,"['Thu, 13 Aug 2020 10:08:54', 'Thu, 13 Aug 2020 10:08:55']",2,"['https://chw.calpoly.edu', 'https://chw.calpoly.edu/health-services', 'https://chw.calpoly.edu/specialty_clinics']",1
California State University Bakersfield,https://www.csub.edu/healthcenter,4,"['https://www.csub.edu/healthcenter/Services/women/index.html', 'https://www.csub.edu/healthcenter/information/pact/index.html', 'https://www.csub.edu/healthcenter/information/fees/index.html', 'https://www.csub.edu/healthcenter/healthpromotion/index.html']",2745,58.95,9.03,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,2,0,0,6,1,1,0,0,0,0,0,0,0.057,0.582,0.172,"['Sat, 15 Aug 2020 09:39:55 GMT', 'Sat, 15 Aug 2020 09:39:51 GMT', 'Sat, 15 Aug 2020 09:39:52 GMT', 'Sat, 15 Aug 2020 09:39:11 GMT']",1,"['https://www.csub.edu/healthcenter', 'https://www.csub.edu/healthcenter/healthpromotion/index.html']",1
California State University Stanislaus,https://www.csustan.edu/health-center,1,['https://www.csustan.edu/health-center/clinical-services'],492,74.54,5.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.676,0.158,"['Sat, 15 Aug 2020 17:08:58 GMT']",1,"['https://www.csustan.edu/health-center', 'https://www.csustan.edu/health-center/clinical-services']",1
California State University San Bernardino,https://www.csusb.edu/student-health-center,4,"['https://www.csusb.edu/student-health-center/family-pact', 'https://www.csusb.edu/student-health-center/resources', 'https://www.csusb.edu/student-health-center', 'https://www.csusb.edu/student-health-center/health-promotion/health-education-videos-and-resources']",5427,72.01,5.91,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.076,0.708,0.056,"['Sat, 15 Aug 2020 16:47:41 GMT', 'Sat, 15 Aug 2020 17:09:09 GMT', 'Sat, 15 Aug 2020 16:47:16 GMT', 'Sat, 15 Aug 2020 17:09:11 GMT']",0,['https://www.csusb.edu/student-health-center'],1
California State Polytechnic University Pomona,https://www.cpp.edu/health,13,"['https://www.cpp.edu/health/health-topics/pregnancy-prevention.shtml', 'https://www.cpp.edu/health/health-services/emergency-contraceptives.shtml', 'https://www.cpp.edu/health/health-services/otc_produts.shtml', 'https://www.cpp.edu/health/health-topics/sexual-health-appointment.shtml', 'https://www.cpp.edu/health/health-topics/emergency-contraception.shtml', 'https://www.cpp.edu/health/index.shtml', 'https://www.cpp.edu/health/health-topics/sexual-health-resources.shtml', 'https://www.cpp.edu/health/health-topics/latex-barriers.shtml', 'https://www.cpp.edu/health/health-services/womens-exam.shtml', 'https://www.cpp.edu/health/health-topics/faq-sexual-health.shtml', 'https://www.cpp.edu/health/emergency-services.shtml', 'https://www.cpp.edu/health/health-services/pharmacy.shtml', 'https://www.cpp.edu/health/health-topics/sexual-health.shtml']",9656,81.11,5.14,213,48,11,0,12,1,1,1,1,1,4,0,0,1,0,1,0,2,0,8,16,1,3,32,8,28,4,1,7,5,9,1,0,3,0,0,3,0.107,0.561,0.116,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://www.cpp.edu/health', 'https://www.cpp.edu/health/index.shtml']",1
California State University Chico,https://www.csuchico.edu/healthcenter,11,"['https://www.csuchico.edu/healthcenter/about/familypact/nexplanon-faq.shtml', 'https://www.csuchico.edu/healthcenter/about/familypact/index.shtml', 'https://www.csuchico.edu/healthcenter/services/index.shtml', 'https://www.csuchico.edu/healthcenter/services/pharmacy/pricelist.shtml', 'https://www.csuchico.edu/healthcenter/', 'https://www.csuchico.edu/healthcenter/services/pharmacy/medication-safety.shtml', 'https://www.csuchico.edu/healthcenter/services/gender-affirming-care.shtml', 'https://www.csuchico.edu/healthcenter/appointment.shtml', 'https://www.csuchico.edu/healthcenter/services/pharmacy/index.shtml']",6580,42.02,11.96,75,23,0,0,1,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,6,0,3,6,0,2,0,0,0,0,1,0,0,2,0,0,1,0.067,0.517,0.151,"[-1, 'Fri, 10 Jul 2020 00:09:05 GMT', -1, -1, -1, -1, -1, -1, -1, -1, 'Fri, 10 Jul 2020 00:09:03 GMT']",0,['https://www.csuchico.edu/healthcenter'],1
California State University Dominguez Hills,https://www.csudh.edu/shps,2,"['https://www.csudh.edu/shps/student-health-services/', 'https://www.csudh.edu/shps/forms/']",2088,42.07,12.97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.716,0.108,"['Sat, 15 Aug 2020 08:47:32 GMT', 'Sat, 15 Aug 2020 08:35:47 GMT']",1,"['https://www.csudh.edu/shps', 'https://www.csudh.edu/shps/forms/']",1
California State University Fresno,http://www.fresnostate.edu/studentaffairs/health,6,"['http://www.fresnostate.edu/studentaffairs/health/medical/sexual-health.html', 'http://www.fresnostate.edu/studentaffairs/health/medical/index.html', 'http://www.fresnostate.edu/studentaffairs/health/wellness/request-presentation.html', 'http://www.fresnostate.edu/studentaffairs/health/medical/pharmacy.html']",2086,70.52,6.16,19,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,1,0,0,1,0.059,0.591,0.185,"[-1, -1, -1, 'Tue, 03 Dec 2019 19:56:13 GMT', -1, 'Mon, 13 Apr 2015 17:55:43 GMT']",-1,[],1
California State University Fullerton,http://www.fullerton.edu/health,5,"['http://www.fullerton.edu/health/resources', 'http://www.fullerton.edu/health/services/family_pact/workshops.php', 'https://www.fullerton.edu/health/resources/']",1824,59.39,9.66,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0.545,0.055,"[-1, 'Wed, 15 Jul 2020 20:07:40 GMT', -1, 'Tue, 21 Mar 2017 16:57:37 GMT', -1]",1,"['http://www.fullerton.edu/health', 'http://www.fullerton.edu/health/resources']",1
California State University East Bay,https://www.csueastbay.edu/shcs,7,"['https://www.csueastbay.edu/shcs/services/womens-health.html', 'https://www.csueastbay.edu/shcs/files/docs/executive-summary-2014.pdf', 'https://www.csueastbay.edu/shcs/files/docs/ncha-ii-web-spring-2018.PDF', 'https://www.csueastbay.edu/shcs/health-service-fee-adjustment.html']",12250,48.41,10.61,29,6,3,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,7,4,0,0,0,0,0,0,0.086,0.65,0.122,"[-1, 'Mon, 10 Aug 2020 05:01:18 GMT', 'Mon, 10 Aug 2020 05:01:12 GMT', 'Mon, 10 Aug 2020 05:01:15 GMT', 'Mon, 10 Aug 2020 05:01:18 GMT', 'Mon, 10 Aug 2020 05:01:17 GMT', -1]",1,"['https://www.csueastbay.edu/shcs', 'https://www.csueastbay.edu/shcs/health-service-fee-adjustment.html']",1
California State University Long Beach,https://web.csulb.edu/divisions/students/shs,12,"['https://web.csulb.edu/divisions/students/shs/services/birth_control.html', 'https://web.csulb.edu/divisions/students/shs/services/reproductive_health.html', 'https://web.csulb.edu/divisions/students/shs/services/familypact.html', 'https://web.csulb.edu/divisions/students/shs/', 'https://web.csulb.edu/divisions/students/shs/wellness/outreach_presentations.html', 'https://web.csulb.edu/divisions/students/shs/services/primarycare.html', 'https://web.csulb.edu/divisions/students/shs/wellness/', 'http://web.csulb.edu/divisions/students/shs/make_appointments.html', 'https://web.csulb.edu/divisions/students/shs/faq.html', 'https://web.csulb.edu/divisions/students/shs/services/pharmacy.html', 'https://web.csulb.edu/divisions/students/shs/health_resources.html']",10430,71.58,6.36,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0.035,0.499,0.174,"[-1, -1, -1, -1, -1, -1, -1, 'Fri, 09 Aug 2019 17:17:25 GMT', -1, -1, -1, -1]",0,['https://web.csulb.edu/divisions/students/shs'],1
California State University Los Angeles,https://www.calstatela.edu/studenthealthcenter,7,"['http://www.calstatela.edu/studenthealthcenter/safe/sexual-violence-and-misconduct', 'https://www.calstatela.edu/studenthealthcenter/safe/dating-and-domestic-violence', 'http://www.calstatela.edu/studenthealthcenter/hpec/guest-lectures', 'http://www.calstatela.edu/studenthealthcenter/safe/prevention', 'https://www.calstatela.edu/studenthealthcenter', 'http://www.calstatela.edu/studenthealthcenter/safe/options-survivors', 'https://www.calstatela.edu/studenthealthcenter/safe/survivor-assistance-student-health-center']",17396,59.83,8.9,21,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.051,0.488,0.156,"[-1, 'Sat, 15 Aug 2020 17:13:27 GMT', -1, -1, 'Sat, 15 Aug 2020 15:16:09 GMT', -1, 'Sat, 15 Aug 2020 17:13:29 GMT']",0,['https://www.calstatela.edu/studenthealthcenter'],1
California State University Northridge,https://www.csun.edu/shc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University Sacramento,https://www.csus.edu/student-life/health-counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of California Berkeley,https://uhs.berkeley.edu,15,"['https://uhs.berkeley.edu/news/birth-control-options-new-pharmacy-ruling', 'https://uhs.berkeley.edu/medical/primary-care/gynecology-services', 'https://uhs.berkeley.edu/medical/primary-care/gynecology-services/contraceptives-and-family-planning', 'https://uhs.berkeley.edu/medical/pharmacy/frequently-asked-questions', 'https://uhs.berkeley.edu/sites/default/files/birth-control_across_genders.pdf', 'https://uhs.berkeley.edu/medical/patient-handouts', 'https://uhs.berkeley.edu/after-hours', 'https://www.uhs.berkeley.edu/home/healthtopics/PDF%20Handouts/The%20Patch.pdf']",7531,72.67,6.79,128,31,14,0,2,0,5,4,2,0,0,0,0,4,0,5,0,0,0,9,5,0,1,25,0,4,0,1,7,9,0,0,0,0,0,0,0,0.085,0.569,0.168,"['Sat, 15 Aug 2020 17:13:42 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Sat, 15 Aug 2020 17:13:43 GMT', -1, 'Sat, 15 Aug 2020 16:53:31 GMT', 'Sat, 15 Aug 2020 17:13:44 GMT', -1, 'Mon, 06 Jan 2020 06:46:54 GMT', 'Sat, 01 Feb 2020 01:02:02 GMT', 'Sat, 15 Aug 2020 17:13:46 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Sat, 15 Aug 2020 16:49:10 GMT', -1, -1, 'Fri, 10 Jan 2020 17:24:07 GMT']",1,"['https://uhs.berkeley.edu', 'https://uhs.berkeley.edu/medical/primary-care/womens-health']",1
