University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,hormonal_iud_coverage,copper_iud_coverage,contraceptive_implant_coverage,contraceptive_injection_coverage,hormonal_iud_keyword_count,copper_iud_keyword_count,contraceptive_implant_keyword_count,contraceptive_injection_keyword_count,prevalence_metric,coverage_metric,IUD,Progesterone IUD,Progestin,Hormonal IUD,Mirena,Skyla,Kyleena,Liletta,Copper IUD,Non-Hormonal IUD,nonhormonal iud,Paragard,contraceptive implant,Nexplanon,contraceptive injection,control shot,Depo-Provera,Depo,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
University of Arkansas,https://health.uark.edu,2,['https://health.uark.edu/medical-health/womensclinic.php'],712,69.01,7.33,1,1,1,0,1,1,1,0,3,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.041,0.706,0.198,"[-1, 'Mon, 23 Sep 2019 13:26:42 GMT']",2,"['https://health.uark.edu', 'https://health.uark.edu/medical-health/index.php', 'https://health.uark.edu/medical-health/womensclinic.php']",1
University of Arkansas at Pine Bluff,https://www.uapb.edu/administration/student_affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Arkansas State University Main Campus,https://www.astate.edu/a/student-health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Arkansas Tech University,https://www.atu.edu/hwc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arkansas at Monticello,http://www.uamont.edu/pages/student-affairs/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Central Arkansas,https://uca.edu/studenthealth,1,['https://uca.edu/studenthealth/womens-health-clinic-2/'],402,79.91,4.68,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.015,0.51,0.096,[-1],1,"['https://uca.edu/studenthealth', 'https://uca.edu/studenthealth/womens-health-clinic-2/']",1
Henderson State University,https://www.hsu.edu/pages/about/administration/student-affairs-and-student-success/student-health-and-counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Southern Arkansas University Main Campus,https://web.saumag.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arkansas Fort Smith,https://campuslife.uafs.edu/services/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California Polytechnic State University San Luis Obispo,https://chw.calpoly.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University Bakersfield,https://www.csub.edu/healthcenter,1,['https://www.csub.edu/healthcenter/information/fees/index.html'],685,86.98,3.93,0,0,0,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.027,0.425,-0.011,"['Sat, 15 Aug 2020 09:39:52 GMT']",2,"['https://www.csub.edu/healthcenter', 'https://www.csub.edu/healthcenter/immunizations/index.html', 'https://www.csub.edu/healthcenter/information/fees/index.html']",1
California State University Stanislaus,https://www.csustan.edu/health-center,1,['https://www.csustan.edu/health-center/clinical-services'],492,74.54,5.09,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.012,0.676,0.158,"['Mon, 17 Aug 2020 05:38:53 GMT']",1,"['https://www.csustan.edu/health-center', 'https://www.csustan.edu/health-center/clinical-services']",1
California State University San Bernardino,https://www.csusb.edu/student-health-center,2,"['https://www.csusb.edu/student-health-center/family-pact', 'https://www.csusb.edu/student-health-center']",3369,73.32,6.13,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.031,0.56,0.101,"['Mon, 17 Aug 2020 05:00:33 GMT', 'Mon, 17 Aug 2020 04:40:28 GMT']",0,['https://www.csusb.edu/student-health-center'],1
California State Polytechnic University Pomona,https://www.cpp.edu/health,5,"['https://www.cpp.edu/health/health-topics/pregnancy-prevention.shtml', 'https://www.cpp.edu/health/health-services/emergency-contraceptives.shtml', 'https://www.cpp.edu/health/health-services/otc_produts.shtml', 'https://www.cpp.edu/health/health-topics/emergency-contraception.shtml', 'https://www.cpp.edu/health/health-topics/faq-sexual-health.shtml']",5771,81.49,5.15,1,1,1,1,11,4,1,7,23,3,10,0,6,1,1,1,1,1,3,0,0,1,0,1,0,2,0,5,0.091,0.523,0.139,"[-1, -1, -1, -1, -1]",2,"['https://www.cpp.edu/health', 'https://www.cpp.edu/health/health-topics/sexual-health.shtml', 'https://www.cpp.edu/health/health-topics/emergency-contraception.shtml']",1
California State University Chico,https://www.csuchico.edu/healthcenter,10,"['https://www.csuchico.edu/healthcenter/about/familypact/nexplanon-faq.shtml', 'https://www.csuchico.edu/healthcenter/services/index.shtml', 'https://www.csuchico.edu/healthcenter/', 'https://www.csuchico.edu/healthcenter/about/index.shtml', 'https://www.csuchico.edu/healthcenter/about/familypact/index.shtml', 'https://www.csuchico.edu/healthcenter/services/travel.shtml', 'https://www.csuchico.edu/healthcenter/health-alerts-and-clinic-updates/index.shtml', 'https://www.csuchico.edu/healthcenter/health-alerts-and-clinic-updates/no-show-fee.shtml', 'https://www.csuchico.edu/healthcenter/coverage/eligibility.shtml']",5982,53.93,9.92,1,0,1,0,1,0,21,0,22,2,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0.034,0.56,0.059,"[-1, 'Fri, 10 Jul 2020 00:09:05 GMT', -1, -1, -1, -1, -1, -1, -1, -1]",0,['https://www.csuchico.edu/healthcenter'],1
California State University Dominguez Hills,https://www.csudh.edu/shps,1,['https://www.csudh.edu/shps/forms/'],495,40.83,14.2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015,0.873,0.073,"['Sat, 15 Aug 2020 08:35:47 GMT']",1,"['https://www.csudh.edu/shps', 'https://www.csudh.edu/shps/forms/']",1
California State University Fresno,http://www.fresnostate.edu/studentaffairs/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University Fullerton,http://www.fullerton.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University East Bay,https://www.csueastbay.edu/shcs,1,['https://www.csueastbay.edu/shcs/services/womens-health.html'],998,41.83,12.66,1,0,1,1,2,0,2,2,6,2,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0.041,0.696,0.101,[-1],1,"['https://www.csueastbay.edu/shcs', 'https://www.csueastbay.edu/shcs/services/womens-health.html']",1
California State University Long Beach,https://web.csulb.edu/divisions/students/shs,2,"['https://web.csulb.edu/divisions/students/shs/services/reproductive_health.html', 'https://web.csulb.edu/divisions/students/shs/services/familypact.html']",1714,63.94,7.93,0,0,1,1,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.025,0.443,0.204,"[-1, -1]",-1,[],1
California State University Los Angeles,https://www.calstatela.edu/studenthealthcenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University Northridge,https://www.csun.edu/shc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University Sacramento,https://www.csus.edu/student-life/health-counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of California Berkeley,https://uhs.berkeley.edu,11,"['https://uhs.berkeley.edu/medical/primary-care/gynecology-services', 'https://uhs.berkeley.edu/medical/primary-care/gynecology-services/contraceptives-and-family-planning', 'https://uhs.berkeley.edu/medical/patient-handouts', 'https://uhs.berkeley.edu/sites/default/files/birth-control_across_genders.pdf', 'https://uhs.berkeley.edu/medical/pharmacy/frequently-asked-questions', 'https://uhs.berkeley.edu/news/birth-control-options-new-pharmacy-ruling', 'https://uhs.berkeley.edu/medical/sample-fees']",7358,72.44,6.2,1,1,1,1,11,4,4,9,28,3,11,0,2,0,4,3,2,0,0,0,0,4,0,4,0,0,0,8,0.102,0.539,0.22,"['Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 17 Aug 2020 04:44:33 GMT', 'Sat, 01 Feb 2020 00:59:25 GMT', 'Mon, 17 Aug 2020 05:45:01 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 17 Aug 2020 05:45:03 GMT', -1, 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 17 Aug 2020 05:45:04 GMT', 'Mon, 17 Aug 2020 05:45:05 GMT', 'Mon, 17 Aug 2020 05:45:06 GMT']",1,"['https://uhs.berkeley.edu', 'https://uhs.berkeley.edu/medical/sample-fees']",1
University of California Davis,https://shcs.ucdavis.edu,12,"['https://shcs.ucdavis.edu/blog/archive/healthy-habits/nexplanon-right-you', 'https://shcs.ucdavis.edu/blog/archive/healthy-habits/iud-myths-busted', 'https://shcs.ucdavis.edu/topics/intrauterine-device-iud', 'https://shcs.ucdavis.edu/blog/archive/iud-updates-whats-new', 'https://shcs.ucdavis.edu/topics/depo-provera-shotinjectable', 'https://shcs.ucdavis.edu/topics/nexplanon-implant', 'https://shcs.ucdavis.edu/topics/birth-control-contraception', 'https://shcs.ucdavis.edu/topics/emergency-contraception-ec', 'https://shcs.ucdavis.edu/shcs-blog/archive?page=6', 'https://shcs.ucdavis.edu/topics/oral-contraceptives', 'https://shcs.ucdavis.edu/wellness/health-topics/D']",10936,58.36,10.22,1,1,1,1,178,51,60,17,306,3,202,0,28,12,61,66,5,6,8,0,0,43,0,60,0,1,0,16,0.146,0.493,0.225,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 'Tue, 30 Aug 2016 17:56:54 GMT']",1,"['https://shcs.ucdavis.edu', 'https://shcs.ucdavis.edu/topics/birth-control-contraception']",1
University of California Irvine,https://shc.uci.edu,5,"['https://shc.uci.edu/people/diane-kennedy-msn-whnp-bc', 'https://shc.uci.edu/services/specialty-care', 'https://shc.uci.edu/sites/default/files/docs/OptumRx_Premium_Standard_070118_final_0.pdf']",2041,39.38,15.38,0,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.048,0.582,0.103,"['Tue, 29 Oct 2019 18:39:55 GMT', 'Mon, 17 Aug 2020 05:48:33 GMT', 'Mon, 17 Aug 2020 05:48:34 GMT', 'Mon, 20 Jul 2020 17:17:03 GMT', 'Thu, 18 Oct 2018 19:02:30 GMT']",2,"['https://shc.uci.edu', 'https://shc.uci.edu/new-student-information', 'https://shc.uci.edu/sites/default/files/docs/2020-21%20Undergraduate%20Student-Parent-Guardian%20Powerpoint%20Presentation%20SHC_UC%20SHIP%20web%20version%202.0%2007082020.pptm']",1
University of California Los Angeles,https://www.studenthealth.ucla.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of California Riverside,https://studenthealth.ucr.edu,1,['https://studenthealth.ucr.edu/highlander-care'],458,79.51,4.92,0,0,0,1,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,-0.417,"['Fri, 14 Aug 2020 21:05:44 GMT']",1,"['https://studenthealth.ucr.edu', 'https://studenthealth.ucr.edu/highlander-care']",1
University of California San Diego,https://wellness.ucsd.edu/studenthealth/Pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of California Santa Barbara,http://studenthealth.sa.ucsb.edu,6,"['http://studenthealth.sa.ucsb.edu/medical-services/reproductiveandsexualhealth', 'http://studenthealth.sa.ucsb.edu/insurance/gap', 'http://studenthealth.sa.ucsb.edu/docs/default-source/default-document-library/health-history-form.pdf?sfvrsn=0', 'https://studenthealth.sa.ucsb.edu/docs/default-source/default-document-library/zika-and-women-s-health-dr-toro.pdf?sfvrsn=0']",228413,82.25,4.97,0,0,1,0,0,0,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.052,0.585,0.151,"[-1, -1, 'Tue, 02 Aug 2016 20:54:57 GMT', 'Wed, 11 Jul 2018 18:23:25 GMT', 'Thu, 27 Feb 2020 19:49:51 GMT', 'Mon, 23 May 2016 22:11:41 GMT']",1,"['http://studenthealth.sa.ucsb.edu', 'http://studenthealth.sa.ucsb.edu/docs/default-source/forms/online-shs-statement_web-template.pdf?sfvrsn=ee54f4ab_4']",1
University of California Santa Cruz,https://healthcenter.ucsc.edu,10,"['https://healthcenter.ucsc.edu/pharmacy/faq/contraceptives.html', 'https://healthcenter.ucsc.edu/services/birthcontrol.html', 'https://healthcenter.ucsc.edu/information/index.html', 'https://healthcenter.ucsc.edu/information/common-reasons.html', 'https://healthcenter.ucsc.edu/forms/student-handbook/hc-1091-acne-5-14-20.pdf']",3503,73.56,5.83,0,0,0,1,0,0,0,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0.057,0.634,0.081,"['Tue, 23 Jun 2020 20:12:50 GMT', -1, 'Wed, 24 Jun 2020 19:03:43 GMT', -1, 'Tue, 30 Jun 2020 19:32:25 GMT', -1, -1, 'Thu, 13 Aug 2020 21:32:10 GMT', 'Tue, 23 Jun 2020 20:12:48 GMT', 'Tue, 23 Jun 2020 20:12:49 GMT']",1,"['https://healthcenter.ucsc.edu', 'https://healthcenter.ucsc.edu/information/index.html']",1
California State University Maritime Academy,https://www.csum.edu/web/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Humboldt State University,https://wellbeing.humboldt.edu,5,"['https://wellbeing.humboldt.edu/sexual-health', 'https://wellbeing.humboldt.edu/sites/default/files/health/IMMUNIZATION%20PRICE%20LIST%20081616.pdf']",1364,0.79,26.34,1,1,1,1,8,4,4,4,20,3,0,0,0,0,4,4,0,0,0,0,0,4,0,4,0,0,0,4,0.044,0.697,0.175,"['Thu, 30 Jul 2020 00:54:35 GMT', -1, 'Thu, 30 Jul 2020 00:54:38 GMT', 'Thu, 30 Jul 2020 00:54:30 GMT', 'Thu, 30 Jul 2020 00:54:39 GMT']",2,"['https://wellbeing.humboldt.edu', 'https://wellbeing.humboldt.edu/clone-medical-pharmacy', 'https://wellbeing.humboldt.edu/sexual-health']",1
San Diego State University,https://sa.sdsu.edu/student-health-services,1,['https://sa.sdsu.edu/student-health-services/services'],691,74.27,5.59,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.018,0.721,0.084,[-1],1,"['https://sa.sdsu.edu/student-health-services', 'https://sa.sdsu.edu/student-health-services/services']",1
San Francisco State University,https://health.sfsu.edu,4,"['https://health.sfsu.edu/birth-control-and-sexual-health', 'https://health.sfsu.edu/content/womens-services', 'https://health.sfsu.edu/content/appointments', 'https://health.sfsu.edu/sti-or-hiv-testing']",3491,79.97,5.81,1,1,1,1,5,2,1,4,12,3,3,0,0,0,2,2,1,0,0,0,0,2,0,1,0,0,0,4,0.063,0.632,0.044,"['Mon, 17 Aug 2020 05:52:54 GMT', 'Mon, 17 Aug 2020 05:52:54 GMT', 'Mon, 17 Aug 2020 05:52:54 GMT', 'Mon, 17 Aug 2020 05:52:55 GMT']",1,"['https://health.sfsu.edu', 'https://health.sfsu.edu/content/appointments']",1
San Jose State University,https://www.sjsu.edu/studenthealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Sonoma State University,https://health.sonoma.edu,4,"['http://health.sonoma.edu/services/appointments/reproductive-health/birth-control', 'http://health.sonoma.edu/services/appointments/reproductive-health/reproductive-health-exampap-smear']",1641,66.68,7.95,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.025,0.8,0.103,"['Fri, 12 Jun 2020 16:43:13 GMT', 'Mon, 17 Aug 2020 03:58:48 GMT', 'Mon, 17 Aug 2020 03:58:50 GMT', 'Mon, 17 Aug 2020 05:53:05 GMT']",2,"['https://health.sonoma.edu', 'https://health.sonoma.edu/services', 'https://health.sonoma.edu/services/appointments/reproductive-health/birth-control']",1
University of Colorado Denver/Anschutz Medical Campus,https://nursing.cuanschutz.edu,11,"['https://nursing.cuanschutz.edu/about/faculty-directory/profile/megan-champion-ucd15466', 'https://nursing.cuanschutz.edu/docs/default-source/people-documents/college-of-nursing-people-documents/faculty-cvs/rachael-kulick-cv.pdf?sfvrsn=ba7d9eb8_2', 'https://nursing.cuanschutz.edu/docs/default-source/people-documents/college-of-nursing-people-documents/faculty-cvs/nichol-chesser-cv.pdf?sfvrsn=3679eb8_2', 'https://nursing.cuanschutz.edu/docs/librariesprovider2/preceptor-documents/pc-pnp-preceptor-guidelines.pdf?sfvrsn=6bcd47b9_9', 'https://nursing.cuanschutz.edu/docs/default-source/people-documents/college-of-nursing-people-documents/faculty-cvs/sheri-williams-cv.pdf?sfvrsn=217d9eb8_2']",128246,41.62,12.06,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.031,0.772,-0.055,"['Thu, 07 Mar 2019 17:52:34 GMT', 'Sun, 16 Aug 2020 08:46:32 GMT', 'Tue, 17 Sep 2019 16:08:01 GMT', 'Thu, 07 Mar 2019 17:53:05 GMT', 'Thu, 07 Mar 2019 17:52:31 GMT', 'Thu, 07 Mar 2019 17:52:38 GMT', 'Thu, 07 Mar 2019 17:52:37 GMT', 'Tue, 17 Sep 2019 16:08:00 GMT', 'Thu, 07 Mar 2019 17:52:33 GMT', 'Thu, 07 Mar 2019 17:53:06 GMT', 'Thu, 07 Mar 2019 17:52:31 GMT']",2,"['https://nursing.cuanschutz.edu', 'https://nursing.cuanschutz.edu/student-life/course-schedules', 'https://nursing.cuanschutz.edu/docs/librariesprovider2/student-resources/course-schedules/summer-2020-course-schedule-031920.pdf?sfvrsn=ef8c04b9_14']",1
University of Colorado Colorado Springs,https://uccs.edu/recwellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Colorado Boulder,https://www.colorado.edu/healthcenter,1,['https://www.colorado.edu/healthcenter/services/sexual-and-reproductive-health'],923,39.46,12.58,0,0,1,1,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.027,0.42,0.35,"['Mon, 17 Aug 2020 03:59:02 GMT']",1,"['https://www.colorado.edu/healthcenter', 'https://www.colorado.edu/healthcenter/services/sexual-and-reproductive-health']",1
Colorado School of Mines,https://www.mines.edu/student-health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Colorado State University Fort Collins,https://health.colostate.edu,3,"['https://health.colostate.edu/womens-care/', 'https://health.colostate.edu/primary-care/']",3573,28.76,16.04,1,0,1,1,1,0,5,2,8,2,6,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0.081,0.679,0.095,"['Sun, 16 Aug 2020 05:07:08 GMT', 'Tue, 29 Jan 2019 19:54:37 GMT', 'Sat, 15 Aug 2020 19:09:36 GMT']",-1,[],1
Fort Lewis College,https://www.fortlewis.edu/life-at-flc/health-safety/health-center,2,"['https://www.fortlewis.edu/life-at-flc/health-safety/health-center/medical-services-and-fees/medical-services', 'https://www.fortlewis.edu/life-at-flc/health-safety/health-center/faq']",1405,65.71,7.16,0,0,1,1,0,0,1,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.027,0.643,0.065,"[-1, -1]",1,"['https://www.fortlewis.edu/life-at-flc/health-safety/health-center', 'https://www.fortlewis.edu/life-at-flc/health-safety/health-center/faq']",1
Colorado Mesa University,https://www.coloradomesa.edu/student-services/wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Metropolitan State University of Denver,https://www.msudenver.edu/healthcenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Northern Colorado,https://www.unco.edu/student-health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Colorado State University Pueblo,https://www.csupueblo.edu/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Western State Colorado University,https://western.edu/student-life/health-wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Central Connecticut State University,https://web.ccsu.edu/healthservices/?redirected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Connecticut,https://shs.uconn.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Eastern Connecticut State University,https://www.easternct.edu/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Southern Connecticut State University,https://inside.southernct.edu/health-services,1,['https://inside.southernct.edu/health-services/services'],1156,68.57,6.01,0,0,1,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.801,0.077,"['Mon, 17 Aug 2020 03:59:06 GMT']",1,"['https://inside.southernct.edu/health-services', 'https://inside.southernct.edu/health-services/services']",1
Western Connecticut State University,https://www.wcsu.edu/healthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Delaware State University,https://www.desu.edu/student-life/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
