University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Birth Control,IUD ,Progesterone IUD ,Progestin ,Hormonal IUD ,Mirena ,Skyla ,Kyleena ,Liletta ,Copper IUD ,Non-Hormonal IUD ,Nonhormonal IUD ,Paragard ,Contraceptive implant ,Nexplanon ,Contraceptive injection ,Control shot ,Depo-Provera ,Depo ,emergency contraception ,emergency contraceptives ,morning after pill ,Plan B ,levonorgestrel ,ella ,ulipristal acetate ,contraceptive pill ,control pill ,diaphragm ,spermicide ,contraceptive patch ,control patch ,vaginal ring ,control ring ,contraceptive ring ,cervical cap,pap smear,pap smears,papsmear,papsmears,pap test,pap tests,Condom,Condoms,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
University of Central Arkansas,https://uca.edu/studenthealth,1,['https://uca.edu/studenthealth/womens-health-clinic-2/'],393,69.87,7.21,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0.071,0.572,0.038,[-1],1,"['https://uca.edu/studenthealth', 'https://uca.edu/studenthealth/womens-health-clinic-2/']",1
Henderson State University,https://www.hsu.edu/pages/about/administration/student-affairs-and-student-success/student-health-and-counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Southern Arkansas University Main Campus,https://web.saumag.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arkansas Fort Smith,https://campuslife.uafs.edu/services/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California Polytechnic State University San Luis Obispo,https://chw.calpoly.edu,2,"['https://chw.calpoly.edu/eros', 'https://chw.calpoly.edu/self_care']",935,54.08,10.58,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.009,0.521,0.304,"['Tue, 14 Jul 2020 12:07:12', 'Tue, 14 Jul 2020 12:07:13']",2,"['https://chw.calpoly.edu', 'https://chw.calpoly.edu/health-services', 'https://chw.calpoly.edu/self_care']",1
California State University Bakersfield,https://www.csub.edu/healthcenter,7,"['https://www.csub.edu/healthcenter/Services/women/index.html', 'https://www.csub.edu/healthcenter/information/pact/index.html', 'https://www.csub.edu/healthcenter/healthpromotion/index.html', 'https://www.csub.edu/healthcenter/information/fees/index.html', 'https://www.csub.edu/healthcenter/Services/pharmacy/index.html', 'https://www.csub.edu/healthcenter/Services/avclinic/index.html', 'https://www.csub.edu/healthcenter/information/index.html']",5228,59.28,8.63,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6,3,0,0,0,0,3,3,0.058,0.59,0.137,"['Sat, 11 Jul 2020 09:39:44 GMT', 'Sat, 11 Jul 2020 09:39:39 GMT', 'Sat, 11 Jul 2020 09:39:06 GMT', 'Mon, 13 Jul 2020 21:14:07 GMT', 'Sat, 11 Jul 2020 09:39:42 GMT', 'Sat, 11 Jul 2020 09:39:45 GMT', 'Sat, 11 Jul 2020 09:39:39 GMT']",1,"['https://www.csub.edu/healthcenter', 'https://www.csub.edu/healthcenter/information/index.html']",1
California State University Stanislaus,https://www.csustan.edu/health-center,2,"['https://www.csustan.edu/health-center/clinical-services', 'https://www.csustan.edu/health-center/clinical-services/laboratory-radiology']",1104,69.05,5.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.025,0.672,0.145,"['Thu, 16 Jul 2020 20:13:04 GMT', 'Thu, 16 Jul 2020 20:13:05 GMT']",1,"['https://www.csustan.edu/health-center', 'https://www.csustan.edu/health-center/clinical-services']",1
California State University San Bernardino,https://www.csusb.edu/student-health-center,4,"['https://www.csusb.edu/student-health-center/family-pact', 'https://www.csusb.edu/student-health-center/resources', 'https://www.csusb.edu/student-health-center', 'https://www.csusb.edu/student-health-center/health-promotion/health-education-videos-and-resources']",5391,71.9,5.91,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,2,0.072,0.737,0.055,"['Thu, 16 Jul 2020 20:13:09 GMT', 'Thu, 16 Jul 2020 20:13:10 GMT', 'Thu, 16 Jul 2020 20:13:12 GMT', 'Thu, 16 Jul 2020 20:13:14 GMT']",0,['https://www.csusb.edu/student-health-center'],1
California State Polytechnic University Pomona,https://www.cpp.edu/health,16,"['https://www.cpp.edu/health/health-topics/pregnancy-prevention.shtml', 'https://www.cpp.edu/health/health-services/emergency-contraceptives.shtml', 'https://www.cpp.edu/health/health-topics/sexual-health-appointment.shtml', 'https://www.cpp.edu/health/health-topics/emergency-contraception.shtml', 'https://www.cpp.edu/health/index.shtml', 'https://www.cpp.edu/health/health-topics/latex-barriers.shtml', 'https://www.cpp.edu/health/health-services/womens-exam.shtml', 'https://www.cpp.edu/health/health-topics/faq-sexual-health.shtml', 'https://www.cpp.edu/health/health-topics/screenings-exams1.shtml', 'https://www.cpp.edu/health/emergency-services.shtml', 'https://www.cpp.edu/health/health-services/pharmacy.shtml', 'https://www.cpp.edu/health/health-topics/sexual-health.shtml', 'https://www.cpp.edu/health/wellness-center/wellness-card.shtml', 'https://www.cpp.edu/health/about-us/fee-schedule.shtml', 'https://www.cpp.edu/health/health-topics/hiv.shtml']",12824,78.48,5.7,210,39,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,7,0,2,9,5,15,3,0,0,5,5,0,0,3,0,0,3,17,1,0,0,10,0,46,26,0.083,0.527,0.121,"[-1, -1, -1, -1, -1, -1, -1, 'Tue, 14 Jan 2020 17:08:10 GMT', -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://www.cpp.edu/health', 'https://www.cpp.edu/health/about-us/fee-schedule.shtml']",1
California State University Chico,https://www.csuchico.edu/healthcenter,13,"['https://www.csuchico.edu/healthcenter/about/familypact/nexplanon-faq.shtml', 'https://www.csuchico.edu/healthcenter/about/familypact/index.shtml', 'https://www.csuchico.edu/healthcenter/services/', 'https://www.csuchico.edu/healthcenter/services/pharmacy/pricelist.shtml', 'https://www.csuchico.edu/healthcenter/', 'https://www.csuchico.edu/healthcenter/services/pharmacy/medication-safety.shtml', 'https://www.csuchico.edu/healthcenter/services/gender-affirming-care.shtml', 'https://www.csuchico.edu/healthcenter/appointment.shtml', 'https://www.csuchico.edu/healthcenter/services/pharmacy/index.shtml', 'https://www.csuchico.edu/healthcenter/services/health-education.shtml']",7076,40.47,12.06,58,17,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,4,0.068,0.509,0.1,"[-1, 'Fri, 10 Jul 2020 00:04:51 GMT', -1, -1, -1, -1, -1, -1, -1, -1, 'Fri, 10 Jul 2020 00:04:49 GMT', -1, 'Fri, 10 Jul 2020 00:04:50 GMT']",0,['https://www.csuchico.edu/healthcenter'],1
California State University Dominguez Hills,https://www.csudh.edu/shps,2,"['https://www.csudh.edu/shps/student-health-services/', 'https://www.csudh.edu/shps/forms/']",2063,42.45,11.73,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.027,0.625,0.108,"['Wed, 15 Jul 2020 10:09:24 GMT', 'Wed, 15 Jul 2020 09:41:06 GMT']",1,"['https://www.csudh.edu/shps', 'https://www.csudh.edu/shps/student-health-services/']",1
California State University Fresno,http://www.fresnostate.edu/studentaffairs/health,6,"['http://www.fresnostate.edu/studentaffairs/health/medical/sexual-health.html', 'http://www.fresnostate.edu/studentaffairs/health/medical/index.html', 'http://www.fresnostate.edu/studentaffairs/health/wellness/request-presentation.html', 'http://www.fresnostate.edu/studentaffairs/health/medical/pharmacy.html']",2064,70.65,6.07,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,3,0.062,0.583,0.195,"[-1, -1, -1, 'Tue, 03 Dec 2019 19:56:13 GMT', -1, 'Tue, 15 Aug 2017 16:39:34 GMT']",-1,[],1
California State University Fullerton,http://www.fullerton.edu/health,4,"['http://www.fullerton.edu/health/resources', 'https://www.fullerton.edu/health/resources/', 'http://www.fullerton.edu/health/eligibility/', 'http://www.fullerton.edu/health/services/']",2416,50.47,12.74,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.544,-0.016,"[-1, -1, -1, -1]",1,"['http://www.fullerton.edu/health', 'http://www.fullerton.edu/health/eligibility']",1
California State University East Bay,https://www.csueastbay.edu/shcs,6,"['https://www.csueastbay.edu/shcs/files/docs/ncha-ii-web-spring-2018.PDF', 'https://www.csueastbay.edu/shcs/files/docs/executive-summary-2014.pdf', 'https://www.csueastbay.edu/shcs/forms/family-pact.html']",11171,71.22,6.28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0.619,0.161,"['Mon, 13 Jul 2020 05:01:26 GMT', 'Mon, 13 Jul 2020 05:01:24 GMT', 'Mon, 13 Jul 2020 05:01:23 GMT', 'Mon, 13 Jul 2020 05:01:22 GMT', 'Mon, 13 Jul 2020 05:01:19 GMT', -1]",0,['https://www.csueastbay.edu/shcs'],1
California State University Long Beach,http://web.csulb.edu/divisions/students/shs,14,"['https://web.csulb.edu/divisions/students/shs/services/birth_control.html', 'https://web.csulb.edu/divisions/students/shs/services/reproductive_health.html', 'https://web.csulb.edu/divisions/students/shs/services/familypact.html', 'http://web.csulb.edu/divisions/students/shs/', 'https://web.csulb.edu/divisions/students/shs/wellness/outreach_presentations.html', 'https://web.csulb.edu/divisions/students/shs/services/primarycare.html', 'https://web.csulb.edu/divisions/students/shs/wellness/', 'http://web.csulb.edu/divisions/students/shs/make_appointments.html', 'https://web.csulb.edu/divisions/students/shs/faq.html', 'https://web.csulb.edu/divisions/students/shs/services/pharmacy.html', 'https://web.csulb.edu/divisions/students/shs/health_resources.html', 'https://web.csulb.edu/divisions/students/shs/wellness/programs/peer_educator.html', 'http://web.csulb.edu/divisions/students/shs/sensitive_exams.html']",12708,70.01,6.7,39,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0.039,0.485,0.198,"[-1, -1, -1, -1, -1, -1, -1, -1, 'Fri, 09 Aug 2019 17:17:25 GMT', -1, -1, -1, -1, -1]",0,['http://web.csulb.edu/divisions/students/shs'],1
