University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,IUD,Progesterone IUD,Progestin,Hormonal IUD,Mirena,Skyla,Kyleena,Liletta,Copper IUD,Non - Hormonal IUD,nonhormonal iud,Paragard,contraceptive implant,Nexplanon,contraceptive injection,control shot,Depo - Provera,Depo,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
University of Arkansas at Pine Bluff,https://www.uapb.edu/administration/student_affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Arkansas State University Main Campus,https://www.astate.edu/a/student-health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Arkansas Tech University,https://www.atu.edu/hwc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arkansas at Monticello,http://www.uamont.edu/pages/student-affairs/exercise-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Central Arkansas,https://uca.edu/studenthealth,1,['https://uca.edu/studenthealth/womens-health-clinic-2/'],410,79.91,4.68,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.015,0.51,0.096,[-1],1,"['https://uca.edu/studenthealth', 'https://uca.edu/studenthealth/womens-health-clinic-2/']",1
Henderson State University,https://www.hsu.edu/pages/about/administration/student-affairs-and-student-success/student-health-and-counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Southern Arkansas University Main Campus,https://web.saumag.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arkansas Fort Smith,https://campuslife.uafs.edu/services/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California Polytechnic State University San Luis Obispo,https://chw.calpoly.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University Bakersfield,https://www.csub.edu/healthcenter,1,['https://www.csub.edu/healthcenter/information/fees/index.html'],685,86.98,3.93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.027,0.425,-0.011,"['Sat, 12 Sep 2020 09:39:40 GMT']",2,"['https://www.csub.edu/healthcenter', 'https://www.csub.edu/healthcenter/immunizations/index.html', 'https://www.csub.edu/healthcenter/information/fees/index.html']",1
California State University Stanislaus,https://www.csustan.edu/health-center,1,['https://www.csustan.edu/health-center/clinical-services'],506,75.76,5.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.012,0.676,0.158,"['Thu, 17 Sep 2020 15:54:17 GMT']",1,"['https://www.csustan.edu/health-center', 'https://www.csustan.edu/health-center/clinical-services']",1
California State University San Bernardino,https://www.csusb.edu/student-health-center,2,"['https://www.csusb.edu/student-health-center/family-pact', 'https://www.csusb.edu/student-health-center']",3422,73.32,6.13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.031,0.56,0.101,"['Thu, 17 Sep 2020 15:54:21 GMT', 'Thu, 17 Sep 2020 15:50:20 GMT']",0,['https://www.csusb.edu/student-health-center'],1
California State Polytechnic University Pomona,https://www.cpp.edu/health,5,"['https://www.cpp.edu/health/health-topics/pregnancy-prevention.shtml', 'https://www.cpp.edu/health/health-services/emergency-contraceptives.shtml', 'https://www.cpp.edu/health/health-services/otc_products.shtml', 'https://www.cpp.edu/health/health-topics/emergency-contraception.shtml', 'https://www.cpp.edu/health/health-topics/faq-sexual-health.shtml']",5766,81.95,5.04,36,10,0,6,1,1,1,1,1,3,0,0,1,0,1,0,2,3,5,0.09,0.526,0.139,"[-1, -1, -1, -1, -1]",2,"['https://www.cpp.edu/health', 'https://www.cpp.edu/health/health-topics/sexual-health.shtml', 'https://www.cpp.edu/health/health-topics/emergency-contraception.shtml']",1
California State University Chico,https://www.csuchico.edu/healthcenter,10,"['https://www.csuchico.edu/healthcenter/about/familypact/nexplanon-faq.shtml', 'https://www.csuchico.edu/healthcenter/services/index.shtml', 'https://www.csuchico.edu/healthcenter/', 'https://www.csuchico.edu/healthcenter/about/index.shtml', 'https://www.csuchico.edu/healthcenter/about/familypact/index.shtml', 'https://www.csuchico.edu/healthcenter/services/travel.shtml', 'https://www.csuchico.edu/healthcenter/health-alerts-and-clinic-updates/index.shtml', 'https://www.csuchico.edu/healthcenter/health-alerts-and-clinic-updates/no-show-fee.shtml', 'https://www.csuchico.edu/healthcenter/students/patient-assistance.shtml']",5493,60.16,9.01,22,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0.034,0.555,0.041,"[-1, 'Sat, 05 Sep 2020 00:16:58 GMT', -1, -1, -1, -1, -1, -1, -1, -1]",0,['https://www.csuchico.edu/healthcenter'],1
California State University Dominguez Hills,https://www.csudh.edu/shs,1,['https://www.csudh.edu/shs/forms/'],492,54.59,9.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.019,0.862,0.105,"['Wed, 16 Sep 2020 08:26:23 GMT']",1,"['https://www.csudh.edu/shs', 'https://www.csudh.edu/shs/forms/']",1
California State University Fresno,http://www.fresnostate.edu/studentaffairs/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University Fullerton,http://www.fullerton.edu/health,1,['http://www.fullerton.edu/health/services/family_pact/'],625,68.47,5.77,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.038,0.758,0.105,[-1],1,"['http://www.fullerton.edu/health', 'http://www.fullerton.edu/health/services/family_pact']",1
California State University East Bay,https://www.csueastbay.edu/shcs,1,['https://www.csueastbay.edu/shcs/services/womens-health.html'],998,41.47,12.78,10,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,2,2,0.039,0.7,0.097,[-1],1,"['https://www.csueastbay.edu/shcs', 'https://www.csueastbay.edu/shcs/services/womens-health.html']",1
California State University Long Beach,https://web.csulb.edu/divisions/students/shs,2,"['https://web.csulb.edu/divisions/students/shs/services/reproductive_health.html', 'https://web.csulb.edu/divisions/students/shs/services/familypact.html']",1729,64.72,7.73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.024,0.482,0.222,"[-1, -1]",1,"['https://web.csulb.edu/divisions/students/shs', 'https://web.csulb.edu/divisions/students/shs/services/familypact.html']",1
California State University Los Angeles,https://www.calstatela.edu/studenthealthcenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University Northridge,https://www.csun.edu/shc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California State University Sacramento,https://www.csus.edu/student-life/health-counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of California Berkeley,https://uhs.berkeley.edu,16,"['https://uhs.berkeley.edu/sites/default/files/iud_hormonal.pdf', 'https://uhs.berkeley.edu/medical/primary-care/gynecology-services', 'https://uhs.berkeley.edu/sites/default/files/depo-provera.pdf', 'https://uhs.berkeley.edu/medical/primary-care/gynecology-services/contraceptives-and-family-planning', 'https://uhs.berkeley.edu/sites/default/files/BirthControl.pdf', 'https://uhs.berkeley.edu/medical/sample-fees', 'https://uhs.berkeley.edu/medical/patient-handouts', 'https://uhs.berkeley.edu/sites/default/files/birth-control_across_genders.pdf', 'https://uhs.berkeley.edu/sites/default/files/ship-wellfleet-rx-student-formulary.pdf']",4206,73.26,5.93,39,8,0,2,0,4,3,2,0,0,0,0,4,0,4,0,0,5,7,0.098,0.518,0.261,"['Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Thu, 17 Sep 2020 16:01:41 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Thu, 17 Sep 2020 16:01:44 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Thu, 17 Sep 2020 16:01:46 GMT', 'Thu, 17 Sep 2020 16:01:48 GMT', 'Wed, 05 Aug 2020 20:13:53 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Thu, 06 Aug 2020 22:28:02 GMT']",0,['https://uhs.berkeley.edu'],1
University of California Davis,https://shcs.ucdavis.edu,12,"['https://shcs.ucdavis.edu/blog/archive/healthy-habits/nexplanon-right-you', 'https://shcs.ucdavis.edu/blog/archive/healthy-habits/iud-myths-busted', 'https://shcs.ucdavis.edu/blog/archive/iud-updates-whats-new', 'https://shcs.ucdavis.edu/topics/intrauterine-device-iud', 'https://shcs.ucdavis.edu/topics/depo-provera-shotinjectable', 'https://shcs.ucdavis.edu/topics/nexplanon-implant', 'https://shcs.ucdavis.edu/topics/birth-control-contraception', 'https://shcs.ucdavis.edu/topics/emergency-contraception-ec', 'https://shcs.ucdavis.edu/shcs-blog/archive?page=6', 'https://shcs.ucdavis.edu/topics/oral-contraceptives', 'https://shcs.ucdavis.edu/wellness/health-topics']",11342,58.98,10.01,539,205,0,28,14,62,68,5,6,8,0,0,44,0,60,0,1,19,19,0.145,0.496,0.223,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 'Tue, 30 Aug 2016 17:56:54 GMT']",1,"['https://shcs.ucdavis.edu', 'https://shcs.ucdavis.edu/wellness/health-topics']",1
University of California Irvine,https://shc.uci.edu,5,"['https://shc.uci.edu/services/specialty-care', 'https://shc.uci.edu/people/diane-kennedy-msn-whnp-bc', 'https://shc.uci.edu/sites/default/files/docs/OptumRx_Premium_Standard_070118_final_0.pdf']",2085,31.31,17.84,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.05,0.568,0.119,"['Tue, 29 Oct 2019 18:39:55 GMT', 'Thu, 17 Sep 2020 15:06:27 GMT', 'Thu, 17 Sep 2020 15:06:28 GMT', 'Mon, 20 Jul 2020 17:17:03 GMT', 'Thu, 18 Oct 2018 19:02:30 GMT']",2,"['https://shc.uci.edu', 'https://shc.uci.edu/new-student-information', 'https://shc.uci.edu/sites/default/files/docs/2020-21%20Undergraduate%20Student-Parent-Guardian%20Powerpoint%20Presentation%20SHC_UC%20SHIP%20web%20version%2008192020_ES.pptx']",1
University of California Los Angeles,https://www.studenthealth.ucla.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of California Riverside,https://studenthealth.ucr.edu,1,['https://studenthealth.ucr.edu/highlander-care'],464,81.49,4.61,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,-0.417,"['Sat, 12 Sep 2020 00:19:18 GMT']",1,"['https://studenthealth.ucr.edu', 'https://studenthealth.ucr.edu/highlander-care']",1
University of California San Diego,https://wellness.ucsd.edu/studenthealth/Pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of California Santa Barbara,https://studenthealth.sa.ucsb.edu,6,"['http://studenthealth.sa.ucsb.edu/medical-services/reproductiveandsexualhealth', 'https://studenthealth.sa.ucsb.edu/insurance/gap', 'http://studenthealth.sa.ucsb.edu/docs/default-source/default-document-library/health-history-form.pdf?sfvrsn=0', 'https://studenthealth.sa.ucsb.edu/docs/default-source/default-document-library/zika-and-women-s-health-dr-toro.pdf?sfvrsn=0']",228419,82.21,5.03,5,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.052,0.59,0.137,"[-1, -1, 'Tue, 02 Aug 2016 20:54:57 GMT', -1, -1, 'Mon, 23 May 2016 22:11:41 GMT']",1,"['https://studenthealth.sa.ucsb.edu', 'https://studenthealth.sa.ucsb.edu/medical-services/reproductiveandsexualhealth']",1
University of California Santa Cruz,https://healthcenter.ucsc.edu,9,"['https://healthcenter.ucsc.edu/forms/student-handbook/hc-1029-implantable-contraception---nexplanon.pdf', 'https://healthcenter.ucsc.edu/services/birthcontrol.html', 'https://healthcenter.ucsc.edu/information/index.html', 'https://healthcenter.ucsc.edu/information/common-reasons.html', 'https://healthcenter.ucsc.edu/forms/student-handbook/hc-1091-acne-5-14-20.pdf']",2602,75.42,5.5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0.064,0.585,0.159,"['Tue, 15 Sep 2020 17:33:21 GMT', 'Wed, 16 Sep 2020 17:37:34 GMT', -1, 'Tue, 15 Sep 2020 17:33:21 GMT', -1, -1, 'Tue, 15 Sep 2020 17:33:23 GMT', 'Tue, 15 Sep 2020 17:33:21 GMT', 'Tue, 15 Sep 2020 17:33:21 GMT']",0,['https://healthcenter.ucsc.edu'],1
California State University Maritime Academy,https://www.csum.edu/web/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Humboldt State University,https://wellbeing.humboldt.edu,5,"['https://wellbeing.humboldt.edu/sexual-health', 'https://wellbeing.humboldt.edu/sites/default/files/health/IMMUNIZATION%20PRICE%20LIST%20081616.pdf']",1365,0.79,26.34,20,0,0,0,0,4,4,0,0,0,0,0,4,0,4,0,0,0,4,0.044,0.697,0.175,"['Thu, 30 Jul 2020 00:54:35 GMT', -1, 'Thu, 30 Jul 2020 00:54:38 GMT', 'Thu, 30 Jul 2020 00:54:30 GMT', 'Thu, 30 Jul 2020 00:54:39 GMT']",2,"['https://wellbeing.humboldt.edu', 'https://wellbeing.humboldt.edu/clone-medical-pharmacy', 'https://wellbeing.humboldt.edu/sexual-health']",1
San Diego State University,https://sa.sdsu.edu/student-health-services,1,['https://sa.sdsu.edu/student-health-services/services'],691,74.34,5.68,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.016,0.721,0.084,[-1],1,"['https://sa.sdsu.edu/student-health-services', 'https://sa.sdsu.edu/student-health-services/services']",1
San Francisco State University,https://health.sfsu.edu,3,"['https://health.sfsu.edu/birth-control-and-sexual-health', 'https://health.sfsu.edu/content/womens-services', 'https://health.sfsu.edu/sti-or-hiv-testing']",2629,78.08,6.52,15,2,0,0,0,2,2,1,0,0,0,0,2,0,1,0,0,2,3,0.056,0.581,0.091,"['Thu, 17 Sep 2020 16:12:15 GMT', 'Thu, 17 Sep 2020 16:12:16 GMT', 'Thu, 17 Sep 2020 16:12:17 GMT']",1,"['https://health.sfsu.edu', 'https://health.sfsu.edu/birth-control-and-sexual-health']",1
San Jose State University,https://www.sjsu.edu/studenthealth,1,['https://www.sjsu.edu/studenthealth/services/womens-health.php'],1007,73.58,6.09,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.02,0.729,0.081,[-1],1,"['https://www.sjsu.edu/studenthealth', 'https://www.sjsu.edu/studenthealth/services/womens-health.php']",1
Sonoma State University,https://health.sonoma.edu,3,"['http://health.sonoma.edu/services/appointments/reproductive-health/birth-control', 'http://health.sonoma.edu/services/appointments/reproductive-health/reproductive-health-exampap-smear']",1635,66.68,7.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.025,0.8,0.103,"['Fri, 12 Jun 2020 16:43:13 GMT', 'Thu, 17 Sep 2020 15:09:08 GMT', 'Thu, 17 Sep 2020 15:09:12 GMT']",2,"['https://health.sonoma.edu', 'https://health.sonoma.edu/services', 'https://health.sonoma.edu/services/appointments/reproductive-health/birth-control']",1
University of Colorado Denver/Anschutz Medical Campus,https://nursing.cuanschutz.edu,11,"['https://nursing.cuanschutz.edu/about/faculty-directory/profile/megan-champion-ucd15466', 'https://nursing.cuanschutz.edu/docs/default-source/people-documents/college-of-nursing-people-documents/faculty-cvs/rachael-kulick-cv.pdf?sfvrsn=ba7d9eb8_2', 'https://nursing.cuanschutz.edu/docs/default-source/people-documents/college-of-nursing-people-documents/faculty-cvs/amy-artmann-cv.pdf?sfvrsn=3a669eb8_2', 'https://nursing.cuanschutz.edu/docs/librariesprovider2/preceptor-documents/pc-pnp-preceptor-guidelines.pdf?sfvrsn=6bcd47b9_9', 'https://nursing.cuanschutz.edu/docs/default-source/people-documents/college-of-nursing-people-documents/faculty-cvs/sheri-williams-cv.pdf?sfvrsn=217d9eb8_2']",128246,41.62,12.06,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.031,0.772,-0.055,"['Thu, 07 Mar 2019 17:52:34 GMT', 'Thu, 17 Sep 2020 15:54:04 GMT', 'Tue, 17 Sep 2019 16:08:01 GMT', 'Thu, 07 Mar 2019 17:53:05 GMT', 'Thu, 07 Mar 2019 17:52:38 GMT', 'Thu, 07 Mar 2019 17:52:31 GMT', 'Thu, 07 Mar 2019 17:52:37 GMT', 'Tue, 17 Sep 2019 16:08:00 GMT', 'Thu, 07 Mar 2019 17:52:33 GMT', 'Thu, 07 Mar 2019 17:53:06 GMT', 'Thu, 07 Mar 2019 17:52:31 GMT']",2,"['https://nursing.cuanschutz.edu', 'https://nursing.cuanschutz.edu/student-life/course-schedules', 'https://nursing.cuanschutz.edu/docs/librariesprovider2/student-resources/course-schedules/fall-2020-course-schedule.pdf?sfvrsn=980cfbb9_2']",1
University of Colorado Colorado Springs,https://uccs.edu/recwellness/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Colorado Boulder,https://www.colorado.edu/healthcenter,1,['https://www.colorado.edu/healthcenter/services/sexual-and-reproductive-health'],937,39.75,12.7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.027,0.42,0.35,"['Thu, 17 Sep 2020 06:06:14 GMT']",1,"['https://www.colorado.edu/healthcenter', 'https://www.colorado.edu/healthcenter/services/sexual-and-reproductive-health']",1
Colorado School of Mines,https://www.mines.edu/student-health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Colorado State University Fort Collins,https://health.colostate.edu,3,"['https://health.colostate.edu/womens-care/', 'https://health.colostate.edu/primary-care/']",4170,69.9,6.65,12,4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0.053,0.685,0.084,"['Wed, 16 Sep 2020 18:10:02 GMT', 'Tue, 29 Jan 2019 19:54:37 GMT', 'Wed, 16 Sep 2020 15:48:20 GMT']",-1,[],1
Fort Lewis College,https://www.fortlewis.edu/life-at-flc/health-safety/health-center,2,"['https://www.fortlewis.edu/life-at-flc/health-safety/health-center/medical-services-and-fees/medical-services', 'https://www.fortlewis.edu/life-at-flc/health-safety/health-center/faq']",1407,65.57,7.17,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0.027,0.652,0.063,"[-1, -1]",1,"['https://www.fortlewis.edu/life-at-flc/health-safety/health-center', 'https://www.fortlewis.edu/life-at-flc/health-safety/health-center/faq']",1
Colorado Mesa University,https://www.coloradomesa.edu/student-services/wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Metropolitan State University of Denver,https://www.msudenver.edu/healthcenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Northern Colorado,https://www.unco.edu/student-health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Colorado State University Pueblo,https://www.csupueblo.edu/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Western State Colorado University,https://western.edu/student-life/health-wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Central Connecticut State University,https://web.ccsu.edu/healthservices/?redirected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Connecticut,https://shs.uconn.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Eastern Connecticut State University,https://www.easternct.edu/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Southern Connecticut State University,https://inside.southernct.edu/health-services,1,['https://inside.southernct.edu/health-services/services'],1163,69.62,5.94,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.029,0.801,0.077,"['Thu, 17 Sep 2020 16:19:26 GMT']",1,"['https://inside.southernct.edu/health-services', 'https://inside.southernct.edu/health-services/services']",1
Western Connecticut State University,https://www.wcsu.edu/healthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Delaware State University,https://www.desu.edu/student-life/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Delaware,https://sites.udel.edu/studenthealth,1,['https://sites.udel.edu/studenthealth/women/'],1111,54.25,10.8,20,7,0,0,0,2,0,1,1,0,0,0,1,0,2,0,0,3,3,0.071,0.637,0.153,[-1],2,"['https://sites.udel.edu/studenthealth', 'https://sites.udel.edu/studenthealth/services/', 'https://sites.udel.edu/studenthealth/women/']",1
University of the District of Columbia,https://www.udc.edu/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Central Florida,https://studenthealth.ucf.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
