University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Birth Control,IUD,Progesterone IUD,Progestin,Hormonal IUD,Mirena,Skyla,Kyleena,Liletta,Copper IUD,Non - Hormonal IUD,Nonhormonal IUD,Paragard,Contraceptive implant,Nexplanon,Contraceptive injection,Control shot,Depo - Provera,Depo,emergency contraception,emergency contraceptives,morning after pill,Plan B,levonorgestrel,ella,ulipristal acetate,contraceptive pill,control pill,diaphragm,spermicide,contraceptive patch,control patch,vaginal ring,control ring,contraceptive ring,cervical cap,pap smear,pap smears,papsmear,papsmears,pap test,pap tests,Condom,Condoms,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
University of Montevallo,https://www.montevallo.edu/campus-life/student-services/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of North Alabama,https://www.una.edu/healthservices,5,"['https://www.una.edu/healthservices/health-tips/sexual-health.html', 'https://www.una.edu/healthservices/available-services-/pap-smear-recommendations.html', 'https://www.una.edu/healthservices/programs-and-requests.html', 'https://www.una.edu/healthservices/available-services.html', 'https://www.una.edu/healthservices/health-tips/medical-information.html']",3520,66.39,7.61,39,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,13,1,0,0,0,0,7,3,0.074,0.512,0.179,"[-1, -1, -1, -1, -1]",1,"['https://www.una.edu/healthservices', 'https://www.una.edu/healthservices/available-services.html']",1
University of South Alabama,https://www.southalabama.edu/departments/studenthealth,3,"['https://www.southalabama.edu/departments/studenthealth/travelmedicine.html', 'https://www.southalabama.edu/departments/studenthealth/services.html']",2978,72.25,6.08,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.021,0.535,0.194,"[-1, 'Wed, 07 Feb 2018 21:40:52 GMT', -1]",1,"['https://www.southalabama.edu/departments/studenthealth', 'https://www.southalabama.edu/departments/studenthealth/services.html']",1
Troy University,https://www.troy.edu/student-life-resources/student-resources/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alaska Anchorage,https://www.uaa.alaska.edu/students/health-safety/health-counseling-center,2,"['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml', 'https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/physical-health.cshtml']",7392,78.99,4.66,30,2,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,4,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.092,0.659,0.124,"[-1, -1]",1,"['https://www.uaa.alaska.edu/students/health-safety/health-counseling-center', 'https://www.uaa.alaska.edu/students/health-safety/health-counseling-center/policies-faq.cshtml']",1
University of Alaska Fairbanks,https://www.uaf.edu/chc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Alaska Southeast,https://www.uas.alaska.edu/juneau/health,3,"['https://www.uas.alaska.edu/juneau/health/services.html', 'https://www.uas.alaska.edu/juneau/health/resources.html', 'https://www.uas.alaska.edu/juneau/health/faq.html']",3034,51.57,10.96,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.028,0.601,0.146,"[-1, -1, -1]",1,"['https://www.uas.alaska.edu/juneau/health', 'https://www.uas.alaska.edu/juneau/health/services.html']",1
Arizona State University Tempe,https://eoss.asu.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arizona,https://health.arizona.edu,26,"['https://health.arizona.edu/contraception', 'https://health.arizona.edu/womens-health', 'https://health.arizona.edu/birth-control-prescriptions', 'https://health.arizona.edu/file/423', 'https://health.arizona.edu/file/404', 'https://health.arizona.edu/file/396', 'https://health.arizona.edu/sites/default/files/sextalk_10_03_16_online.pdf', 'https://health.arizona.edu/sextalk-column', 'https://health.arizona.edu/pregnancy', 'https://health.arizona.edu/resources-1', 'https://health.arizona.edu/sites/default/files/sextalk_08_22_16_online.pdf', 'https://health.arizona.edu/sites/default/files/sextalk_09_26_16_online.pdf', 'https://health.arizona.edu/events/1635-free-condom-friday', 'https://health.arizona.edu/events/1696-cancelled-free-condom-friday', 'https://health.arizona.edu/file/441', 'https://health.arizona.edu/file/433', 'https://health.arizona.edu/over-counter-products', 'https://health.arizona.edu/sites/default/files/sextalk_02.27.17_online.pdf', 'https://health.arizona.edu/sites/default/files/sextalk_11.08.17_online.pdf']",6906,85.34,3.89,79,17,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,2,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,4,18,12,0.084,0.545,0.17,"['Fri, 18 Sep 2020 09:33:41 GMT', 'Fri, 18 Sep 2020 07:02:52 GMT', 'Fri, 18 Sep 2020 09:33:42 GMT', 'Fri, 18 Sep 2020 09:33:42 GMT', 'Fri, 18 Sep 2020 09:33:43 GMT', 'Fri, 18 Sep 2020 09:33:43 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Fri, 18 Sep 2020 09:33:44 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Fri, 18 Sep 2020 09:00:29 GMT', 'Fri, 18 Sep 2020 04:48:21 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Fri, 18 Sep 2020 09:24:45 GMT', 'Fri, 18 Sep 2020 09:33:47 GMT', 'Fri, 18 Sep 2020 09:33:47 GMT', 'Fri, 18 Sep 2020 09:33:48 GMT', 'Fri, 18 Sep 2020 09:33:48 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT', 'Wed, 01 Jan 2020 01:09:32 GMT']",1,"['https://health.arizona.edu', 'https://health.arizona.edu/womens-health']",1
Northern Arizona University,https://in.nau.edu/campus-health-services,9,"['https://in.nau.edu/campus-health-services/online-birth-control-module-unassigned/', 'https://in.nau.edu/campus-health-services/online-birth-control-class-assigned-module/', 'https://in.nau.edu/campus-health-services/sexual-health-programs/', 'https://in.nau.edu/campus-health-services/learn-about-sexual-health/', 'https://in.nau.edu/campus-health-services/medical-services/medical-staff-providers/', 'https://in.nau.edu/campus-health-services/sexual-health-resources/', 'https://in.nau.edu/campus-health-services/major-medical-insurance/', 'https://in.nau.edu/campus-health-services/condom-club/', 'https://in.nau.edu/campus-health-services/louiecare/']",5658,73.98,5.9,69,14,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,32,13,0.044,0.563,0.199,"['Fri, 18 Sep 2020 07:12:37 GMT', 'Fri, 18 Sep 2020 07:12:38 GMT', 'Fri, 18 Sep 2020 06:31:19 GMT', -1, 'Fri, 18 Sep 2020 07:12:39 GMT', 'Fri, 18 Sep 2020 07:54:07 GMT', -1, 'Fri, 18 Sep 2020 07:40:06 GMT', -1]",1,"['https://in.nau.edu/campus-health-services', 'https://in.nau.edu/campus-health-services/major-medical-insurance/']",1
University of Arkansas at Little Rock,https://ualr.edu/health,15,"['https://ualr.edu/health/womens-health-2/', 'https://ualr.edu/health/womens-health/', 'https://ualr.edu/health/services/', 'https://ualr.edu/health/annual-report-2017-2018/', 'https://ualr.edu/health/annual-report-2016-17/', 'https://ualr.edu/health/annual-report-2015-2016/', 'https://ualr.edu/health/self-breast-exam/', 'https://ualr.edu/health/2015/07/21/aids-healthcare-foundation-provides-free-condoms/', 'https://ualr.edu/health/sexually-transmitted-infection-screening-and-treatment/', 'https://ualr.edu/health/2015/07/13/red-ribbon-week/', 'https://ualr.edu/health/category/annual-report/page/3/', 'https://ualr.edu/health/sti-prevention/', 'https://ualr.edu/health/2013-2014/', 'https://ualr.edu/health/peer-leaders/', 'https://ualr.edu/health/annual-report/']",18967,62.6,8.5,127,29,2,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,1,2,0,0,0,8,0,0,0,5,5,0,0,5,0,4,0,0,0,1,0,0,0,0,0,33,21,0.051,0.584,0.149,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://ualr.edu/health', 'https://ualr.edu/health/services/']",1
University of Arkansas,https://health.uark.edu,10,"['https://health.uark.edu/medical-health/womensclinic.php', 'https://health.uark.edu/coronavirus/caps-covid-19-resources-anxiety-workbook.pdf', 'https://health.uark.edu/_resources/documents/Medical_Resources/sexual-health/gyt_resource_prevention_lowdown.pdf', 'https://health.uark.edu/medical-health/gyt-clinic.php', 'https://health.uark.edu/medical-health/index.php', 'https://health.uark.edu/_resources/documents/Medical_Resources/sexual-health/gyt_resource_lowdown_chart.pdf']",2323,70.19,6.65,24,2,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,7,4,0,0,0,0,1,1,0.057,0.659,0.167,"[-1, 'Mon, 23 Sep 2019 13:26:42 GMT', 'Mon, 01 Jun 2020 21:42:29 GMT', 'Tue, 21 Apr 2020 04:25:22 GMT', 'Fri, 02 Aug 2019 21:46:27 GMT', 'Fri, 02 Aug 2019 21:46:27 GMT', -1, -1, 'Fri, 02 Aug 2019 21:46:27 GMT', 'Fri, 02 Aug 2019 21:46:27 GMT']",1,"['https://health.uark.edu', 'https://health.uark.edu/medical-health/index.php']",1
University of Arkansas at Pine Bluff,https://www.uapb.edu/administration/student_affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Arkansas State University Main Campus,https://www.astate.edu/a/student-health-center,4,"['https://www.astate.edu/a/student-health-center/', 'https://www.astate.edu/a/student-health-center/files/Gastroesophageal%20Reflux.pdf']",581,71.54,6.49,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.021,0.719,0.062,"[-1, 'Thu, 01 Dec 2016 20:46:27 +0000', 'Thu, 01 Dec 2016 21:09:38 +0000', 'Thu, 01 Dec 2016 20:29:19 +0000']",0,['https://www.astate.edu/a/student-health-center'],1
Arkansas Tech University,https://www.atu.edu/hwc,17,"['https://www.atu.edu/hwc/wellwomanvisits.php', 'https://www.atu.edu/hwc/resources.php', 'https://www.atu.edu/hwc/docs/AIC_Brochure_07-08_for_website.pdf', 'https://www.atu.edu/hwc/docs/Arkansas_Student_Health_Insurance_Plan_Booklet_09-10.pdf', 'https://www.atu.edu/hwc/docs/UTI%20FINAL.pdf', 'https://www.atu.edu/hwc/docs/HIV_FINAL.pdf', 'https://www.atu.edu/hwc/docs/trichomoniasis_handoutfinal1.pdf', 'https://www.atu.edu/hwc/docs/chlamydiahandout_final.pdf', 'https://www.atu.edu/hwc/docs/chlamydia.pdf']",1489,83.49,3.91,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.051,0.709,0.111,"[-1, -1, 'Tue, 11 Jun 2019 23:50:22 GMT', 'Tue, 11 Jun 2019 23:50:22 GMT', 'Tue, 11 Jun 2019 23:50:22 GMT', 'Tue, 11 Jun 2019 23:50:22 GMT', 'Mon, 04 May 2020 17:26:39 GMT', 'Mon, 27 Apr 2020 18:22:50 GMT', 'Tue, 11 Jun 2019 23:50:21 GMT', 'Mon, 04 May 2020 17:26:39 GMT', 'Mon, 27 Apr 2020 18:21:54 GMT', 'Mon, 27 Apr 2020 18:22:44 GMT', 'Mon, 27 Apr 2020 18:21:46 GMT', 'Mon, 27 Apr 2020 18:21:01 GMT', 'Mon, 27 Apr 2020 18:22:38 GMT', 'Tue, 11 Jun 2019 23:50:22 GMT', 'Tue, 11 Jun 2019 23:50:21 GMT']",1,"['https://www.atu.edu/hwc', 'https://www.atu.edu/hwc/docs/release_of_information.doc']",1
University of Arkansas at Monticello,http://www.uamont.edu/pages/student-affairs/exercise-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Central Arkansas,https://uca.edu/studenthealth,2,"['https://uca.edu/studenthealth/womens-health-clinic-2/', 'https://uca.edu/studenthealth/womens-health-clinic']",718,71.42,6.87,20,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0.069,0.609,0.051,"[-1, -1]",1,"['https://uca.edu/studenthealth', 'https://uca.edu/studenthealth/womens-health-clinic-2/']",1
Henderson State University,https://www.hsu.edu/pages/about/administration/student-affairs-and-student-success/student-health-and-counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Southern Arkansas University Main Campus,https://web.saumag.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Arkansas Fort Smith,https://campuslife.uafs.edu/services/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
California Polytechnic State University San Luis Obispo,https://chw.calpoly.edu,3,"['https://chw.calpoly.edu/specialty_clinics', 'https://chw.calpoly.edu/eros', 'https://chw.calpoly.edu/self_care']",1586,69.14,6.96,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.028,0.562,0.171,"['Wed, 16 Sep 2020 02:09:26', 'Wed, 16 Sep 2020 02:09:27', 'Wed, 16 Sep 2020 02:09:28']",2,"['https://chw.calpoly.edu', 'https://chw.calpoly.edu/immunizations', 'https://chw.calpoly.edu/self_care']",1
California State University Bakersfield,https://www.csub.edu/healthcenter,7,"['https://www.csub.edu/healthcenter/Services/women/index.html', 'https://www.csub.edu/healthcenter/information/pact/index.html', 'https://www.csub.edu/healthcenter/information/fees/index.html', 'https://www.csub.edu/healthcenter/healthpromotion/index.html', 'https://www.csub.edu/healthcenter/Services/pharmacy/index.html', 'https://www.csub.edu/healthcenter/Services/avclinic/index.html', 'https://www.csub.edu/healthcenter/information/index.html']",5293,61.83,8.36,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,2,0,0,6,1,1,0,0,0,0,0,0,6,3,0,0,0,0,3,3,0.056,0.58,0.14,"['Sat, 12 Sep 2020 09:39:43 GMT', 'Sat, 12 Sep 2020 09:39:39 GMT', 'Sat, 12 Sep 2020 09:39:40 GMT', 'Sat, 12 Sep 2020 09:39:05 GMT', 'Sat, 12 Sep 2020 09:39:41 GMT', 'Sat, 12 Sep 2020 09:39:44 GMT', 'Sat, 12 Sep 2020 09:39:37 GMT']",1,"['https://www.csub.edu/healthcenter', 'https://www.csub.edu/healthcenter/healthpromotion/index.html']",1
California State University Stanislaus,https://www.csustan.edu/health-center,2,"['https://www.csustan.edu/health-center/clinical-services', 'https://www.csustan.edu/health-center/clinical-services/laboratory-radiology']",1096,75.36,5.18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.019,0.673,0.123,"['Fri, 18 Sep 2020 09:44:00 GMT', 'Fri, 18 Sep 2020 09:44:01 GMT']",1,"['https://www.csustan.edu/health-center', 'https://www.csustan.edu/health-center/clinical-services']",1
California State University San Bernardino,https://www.csusb.edu/student-health-center,6,"['https://www.csusb.edu/student-health-center/family-pact', 'https://www.csusb.edu/student-health-center/resources', 'https://www.csusb.edu/student-health-center', 'https://www.csusb.edu/student-health-center/health-promotion/health-education-videos-and-resources', 'https://www.csusb.edu/student-health-center/health-promotion/wellness-channel', 'https://www.csusb.edu/student-health-center/health-promotion/health-promotion-workshop-request-form']",7574,73.48,5.75,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5,2,0.071,0.672,0.09,"['Fri, 18 Sep 2020 07:13:09 GMT', 'Fri, 18 Sep 2020 07:13:11 GMT', 'Fri, 18 Sep 2020 09:44:11 GMT', 'Fri, 18 Sep 2020 06:11:21 GMT', 'Fri, 18 Sep 2020 06:33:15 GMT', 'Fri, 18 Sep 2020 07:13:14 GMT']",0,['https://www.csusb.edu/student-health-center'],1
California State Polytechnic University Pomona,https://www.cpp.edu/health,17,"['https://www.cpp.edu/health/health-topics/pregnancy-prevention.shtml', 'https://www.cpp.edu/health/health-services/emergency-contraceptives.shtml', 'https://www.cpp.edu/health/health-services/otc_products.shtml', 'https://www.cpp.edu/health/health-topics/sexual-health-appointment.shtml', 'https://www.cpp.edu/health/health-topics/emergency-contraception.shtml', 'https://www.cpp.edu/health/index.shtml', 'https://www.cpp.edu/health/health-topics/sexual-health-resources.shtml', 'https://www.cpp.edu/health/health-topics/latex-barriers.shtml', 'https://www.cpp.edu/health/health-services/womens-exam.shtml', 'https://www.cpp.edu/health/health-topics/faq-sexual-health.shtml', 'https://www.cpp.edu/health/emergency-services.shtml', 'https://www.cpp.edu/health/health-services/pharmacy.shtml', 'https://www.cpp.edu/health/health-topics/sexual-health.shtml', 'https://www.cpp.edu/health/safer-sex-express.shtml', 'https://www.cpp.edu/health/health-topics/screenings-exams1.shtml', 'https://www.cpp.edu/health/about-us/fee-schedule.shtml']",12286,80.54,5.29,340,49,11,0,12,1,1,1,1,1,4,0,0,1,0,1,0,2,3,8,16,1,3,33,9,34,5,1,7,6,9,1,0,3,0,0,3,17,1,0,0,10,0,51,34,0.091,0.563,0.109,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 'Mon, 24 Aug 2020 17:58:29 GMT', -1, -1]",1,"['https://www.cpp.edu/health', 'https://www.cpp.edu/health/health-topics/sexual-health.shtml']",1
California State University Chico,https://www.csuchico.edu/healthcenter,13,"['https://www.csuchico.edu/healthcenter/about/familypact/nexplanon-faq.shtml', 'https://www.csuchico.edu/healthcenter/about/familypact/index.shtml', 'https://www.csuchico.edu/healthcenter/services/index.shtml', 'https://www.csuchico.edu/healthcenter/services/pharmacy/pricelist.shtml', 'https://www.csuchico.edu/healthcenter/', 'https://www.csuchico.edu/healthcenter/services/pharmacy/medication-safety.shtml', 'https://www.csuchico.edu/healthcenter/appointment.shtml', 'https://www.csuchico.edu/healthcenter/services/gender-affirming-care.shtml', 'https://www.csuchico.edu/healthcenter/services/pharmacy/index.shtml', 'https://www.csuchico.edu/healthcenter/services/health-education.shtml']",6675,44.11,11.65,97,23,0,0,1,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,6,0,3,6,0,2,0,0,0,0,1,0,0,2,0,0,1,4,4,0,0,0,0,8,6,0.057,0.525,0.129,"[-1, 'Sat, 05 Sep 2020 00:06:03 GMT', -1, -1, -1, -1, -1, -1, -1, -1, 'Sat, 05 Sep 2020 00:06:04 GMT', -1, 'Sat, 05 Sep 2020 00:06:02 GMT']",0,['https://www.csuchico.edu/healthcenter'],1
California State University Dominguez Hills,https://www.csudh.edu/shs,3,"['https://www.csudh.edu/shs/student-health-services/general-info/', 'https://www.csudh.edu/shs/student-health-services/', 'https://www.csudh.edu/shs/forms/']",2985,49.79,10.33,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.029,0.683,0.133,"['Wed, 16 Sep 2020 08:25:43 GMT', 'Wed, 16 Sep 2020 08:16:30 GMT', 'Wed, 16 Sep 2020 08:26:23 GMT']",1,"['https://www.csudh.edu/shs', 'https://www.csudh.edu/shs/student-health-services/']",1
California State University Fresno,http://www.fresnostate.edu/studentaffairs/health,7,"['http://www.fresnostate.edu/studentaffairs/health/medical/sexual-health.html', 'http://www.fresnostate.edu/studentaffairs/health/medical/index.html', 'http://www.fresnostate.edu/studentaffairs/health/wellness/request-presentation.html', 'http://www.fresnostate.edu/studentaffairs/health/medical/pharmacy.html', 'http://www.fresnostate.edu/studentaffairs/health/documents/2015_2016_HealthPAWS_Application.pdf']",2134,70.11,6.22,25,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3,3,0.056,0.597,0.181,"[-1, -1, -1, 'Tue, 03 Dec 2019 19:56:13 GMT', -1, 'Tue, 15 Aug 2017 16:39:34 GMT', 'Fri, 23 Jan 2015 20:33:35 GMT']",-1,[],1
