University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Condom,Condoms,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Arkansas State University Main Campus,https://www.astate.edu/a/student-health-center,3,"['https://www.astate.edu/a/student-health-center/', 'https://www.astate.edu/a/student-health-center/files/Bladder%20Infection.pdf']",581,58.89,9.08,2,1,1,0.024,0.717,0.034,"[-1, 'Thu, 01 Dec 2016 20:29:19 +0000', 'Thu, 01 Dec 2016 20:46:27 +0000']",0,['https://www.astate.edu/a/student-health-center'],1
Arkansas Tech University,https://www.atu.edu/hwc,,,,,,,,,,,,,,,0
University of Arkansas at Monticello,http://www.uamont.edu/pages/student-affairs/exercise-center,,,,,,,,,,,,,,,0
University of Central Arkansas,https://uca.edu/studenthealth,,,,,,,,,,,,,,,0
Henderson State University,https://www.hsu.edu/pages/about/administration/student-affairs-and-student-success/student-health-and-counseling,,,,,,,,,,,,,,,0
Southern Arkansas University Main Campus,https://web.saumag.edu/health,,,,,,,,,,,,,,,0
University of Arkansas Fort Smith,https://campuslife.uafs.edu/services/health-center,,,,,,,,,,,,,,,0
California Polytechnic State University San Luis Obispo,https://chw.calpoly.edu,1,['https://chw.calpoly.edu/eros'],449,61.91,8.98,2,1,1,0.024,0.521,0.279,"['Mon, 14 Sep 2020 06:09:03']",3,"['https://chw.calpoly.edu', 'https://chw.calpoly.edu/wellbeing-services', 'https://chw.calpoly.edu/peer-wellness-program-teams', 'https://chw.calpoly.edu/eros']",1
California State University Bakersfield,https://www.csub.edu/healthcenter,3,"['https://www.csub.edu/healthcenter/information/pact/index.html', 'https://www.csub.edu/healthcenter/Services/pharmacy/index.html', 'https://www.csub.edu/healthcenter/Services/women/index.html']",2059,57.02,9.02,6,3,3,0.029,0.571,0.097,"['Sat, 12 Sep 2020 09:39:39 GMT', 'Sat, 12 Sep 2020 09:39:41 GMT', 'Sat, 12 Sep 2020 09:39:43 GMT']",2,"['https://www.csub.edu/healthcenter', 'https://www.csub.edu/healthcenter/Services/index.html', 'https://www.csub.edu/healthcenter/Services/women/index.html']",1
California State University Stanislaus,https://www.csustan.edu/health-center,,,,,,,,,,,,,,,0
California State University San Bernardino,https://www.csusb.edu/student-health-center,2,"['https://www.csusb.edu/student-health-center/family-pact', 'https://www.csusb.edu/student-health-center/health-promotion/health-promotion-workshop-request-form']",2075,78.88,5.24,7,5,2,0.052,0.52,0.157,"['Wed, 16 Sep 2020 13:36:44 GMT', 'Wed, 16 Sep 2020 13:36:45 GMT']",1,"['https://www.csusb.edu/student-health-center', 'https://www.csusb.edu/student-health-center/family-pact']",1
California State Polytechnic University Pomona,https://www.cpp.edu/health,10,"['https://www.cpp.edu/health/health-services/otc_products.shtml', 'https://www.cpp.edu/health/safer-sex-express.shtml', 'https://www.cpp.edu/health/health-topics/sexual-health-resources.shtml', 'https://www.cpp.edu/health/health-topics/latex-barriers.shtml', 'https://www.cpp.edu/health/health-topics/pregnancy-prevention.shtml', 'https://www.cpp.edu/health/health-services/emergency-contraceptives.shtml', 'https://www.cpp.edu/health/health-topics/hiv.shtml', 'https://www.cpp.edu/health/about-us/fee-schedule.shtml', 'https://www.cpp.edu/health/health-topics/sexually-transmitted-infections.shtml']",8174,80.23,5.4,114,68,46,0.142,0.586,0.111,"[-1, -1, -1, -1, -1, 'Mon, 24 Aug 2020 17:58:29 GMT', -1, -1, -1, -1]",1,"['https://www.cpp.edu/health', 'https://www.cpp.edu/health/about-us/fee-schedule.shtml']",1
California State University Chico,https://www.csuchico.edu/healthcenter,6,"['https://www.csuchico.edu/healthcenter/services/health-education.shtml', 'https://www.csuchico.edu/healthcenter/services/pharmacy/index.shtml', 'https://www.csuchico.edu/healthcenter/about/familypact/index.shtml', 'https://www.csuchico.edu/healthcenter/about/familypact/nexplanon-faq.shtml']",3167,42.13,11.65,2,2,0,0.026,0.593,0.109,"[-1, -1, 'Sat, 05 Sep 2020 00:06:03 GMT', -1, 'Sat, 05 Sep 2020 00:06:04 GMT', -1]",1,"['https://www.csuchico.edu/healthcenter', 'https://www.csuchico.edu/healthcenter/services/pharmacy/index.shtml']",1
California State University Dominguez Hills,https://www.csudh.edu/shs,,,,,,,,,,,,,,,0
California State University Fresno,http://www.fresnostate.edu/studentaffairs/health,4,"['http://www.fresnostate.edu/studentaffairs/health/medical/sexual-health.html', 'http://www.fresnostate.edu/studentaffairs/health/medical/pharmacy.html']",1334,74.79,5.36,4,2,2,0.034,0.608,0.154,"['Tue, 15 Aug 2017 16:39:34 GMT', -1, -1, 'Fri, 23 Jan 2015 20:33:35 GMT']",-1,[],1
California State University Fullerton,http://www.fullerton.edu/health,2,['http://www.fullerton.edu/health/services/family_pact/'],625,67.2,6.09,2,1,1,0.026,0.765,0.088,"['Wed, 15 Jul 2020 20:07:40 GMT', -1]",1,"['http://www.fullerton.edu/health', 'http://www.fullerton.edu/health/services/family_pact']",1
California State University East Bay,https://www.csueastbay.edu/shcs,5,"['https://www.csueastbay.edu/shcs/services/womens-health.html', 'https://www.csueastbay.edu/shcs/services/mens-health.html', 'https://www.csueastbay.edu/shcs/files/docs/ncha-ii-web-spring-2018.PDF', 'https://www.csueastbay.edu/shcs/files/docs/executive-summary-2016.pdf']",11946,1.45,17.58,14,7,7,0.064,0.711,0.065,"[-1, -1, 'Mon, 14 Sep 2020 05:00:42 GMT', 'Mon, 14 Sep 2020 05:00:41 GMT', 'Mon, 14 Sep 2020 05:00:42 GMT']",1,"['https://www.csueastbay.edu/shcs', 'https://www.csueastbay.edu/shcs/services/womens-health.html']",1
California State University Long Beach,https://web.csulb.edu/divisions/students/shs,5,"['https://web.csulb.edu/divisions/students/shs/services/familypact.html', 'https://web.csulb.edu/divisions/students/shs/faq.html', 'https://web.csulb.edu/divisions/students/shs/services/pharmacy.html', 'https://web.csulb.edu/divisions/students/shs/wellness/programs/peer_educator.html', 'http://web.csulb.edu/divisions/students/shs/sensitive_exams.html']",5252,62.87,8.07,9,5,4,0.042,0.491,0.192,"[-1, -1, -1, -1, -1]",1,"['https://web.csulb.edu/divisions/students/shs', 'https://web.csulb.edu/divisions/students/shs/sensitive_exams.html']",1
California State University Los Angeles,https://www.calstatela.edu/studenthealthcenter,4,"['https://www.calstatela.edu/studenthealthcenter/zika-virus-disease', 'https://www.calstatela.edu/studenthealthcenter/safe/sexual-violence-and-misconduct', 'https://www.calstatela.edu/studenthealthcenter/safe/prevention', 'https://www.calstatela.edu/studenthealthcenter/safe/dating-and-domestic-violence']",12760,66.8,8.13,35,22,13,0.059,0.463,0.144,"['Wed, 16 Sep 2020 13:40:22 GMT', 'Wed, 16 Sep 2020 13:40:22 GMT', 'Wed, 16 Sep 2020 13:40:23 GMT', 'Wed, 16 Sep 2020 13:40:25 GMT']",1,"['https://www.calstatela.edu/studenthealthcenter', 'https://www.calstatela.edu/studenthealthcenter/zika-virus-disease']",1
California State University Northridge,https://www.csun.edu/shc,2,"['https://www.csun.edu/shc/news/cdc-health-advisory', 'https://www.csun.edu/shc/assessment-and-evaluation']",2508,41.69,14.91,6,3,3,0.024,0.423,0.105,"['Wed, 16 Sep 2020 12:39:46 GMT', 'Wed, 16 Sep 2020 12:39:47 GMT']",1,"['https://www.csun.edu/shc', 'https://www.csun.edu/shc/assessment-and-evaluation']",1
California State University Sacramento,https://www.csus.edu/student-life/health-counseling,6,"['https://www.csus.edu/student-life/health-counseling/wellness-education/services.html', 'https://www.csus.edu/student-life/health-counseling/_internal/_documents/impact-statement.pdf', 'https://www.csus.edu/student-life/health-counseling/wellness-education/presentations.html', 'https://www.csus.edu/student-life/health-counseling/sexual-violence-support/_internal/_documents/rights-and-options-for-victims-of-sexual-misconduct.pdf']",2283,70.59,6.28,9,6,3,0.074,0.466,0.117,"[-1, 'Tue, 15 Sep 2020 15:20:28 GMT', 'Tue, 11 Aug 2020 22:42:25 GMT', -1, 'Thu, 30 Jul 2020 00:07:59 GMT', 'Fri, 19 Jun 2020 21:58:49 GMT']",2,"['https://www.csus.edu/student-life/health-counseling', 'https://www.csus.edu/student-life/health-counseling/wellness-education/index.html', 'https://www.csus.edu/student-life/health-counseling/wellness-education/presentations.html']",1
University of California Berkeley,https://uhs.berkeley.edu,10,"['https://uhs.berkeley.edu/medical/primary-care/sexual-health-care-tang/get-protected-sexual-health-care-tang', 'https://uhs.berkeley.edu/medical/primary-care/sexual-health-care-tang', 'https://uhs.berkeley.edu/sites/default/files/BirthControl.pdf', 'https://uhs.berkeley.edu/sites/default/files/syphilismsm-cdc-factsheet.pdf', 'https://uhs.berkeley.edu/sites/default/files/nuvaring.pdf']",2510,70.4,7.67,75,45,30,0.153,0.457,0.225,"['Wed, 16 Sep 2020 13:42:06 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Wed, 16 Sep 2020 13:38:03 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT', 'Mon, 13 Jan 2020 22:04:50 GMT', 'Mon, 06 Jan 2020 06:46:54 GMT']",2,"['https://uhs.berkeley.edu', 'https://uhs.berkeley.edu/students', 'https://uhs.berkeley.edu/medical/primary-care/sexual-health-care-tang']",1
University of California Davis,https://shcs.ucdavis.edu,10,"['https://shcs.ucdavis.edu/topics/condom-external', 'https://shcs.ucdavis.edu/services/love-lab', 'https://shcs.ucdavis.edu/topics/condom-internal', 'https://shcs.ucdavis.edu/wellnesstogo', 'https://shcs.ucdavis.edu/blog/archive/safer-sex-your-body-and-pleasure', 'https://shcs.ucdavis.edu/topics/sexually-transmitted-infections-sti', 'https://shcs.ucdavis.edu/blog/archive/sharing-love-love-lab-10-year-anniversary', 'https://shcs.ucdavis.edu/topics/birth-control-contraception', 'https://shcs.ucdavis.edu/blog/archive/healthy-habits/are-you-sexcessful', 'https://shcs.ucdavis.edu/topics/emergency-contraception-ec']",11932,69.35,7.74,169,120,49,0.145,0.574,0.177,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://shcs.ucdavis.edu', 'https://shcs.ucdavis.edu/wellnesstogo']",1
University of California Irvine,https://shc.uci.edu,2,['https://shc.uci.edu/services/online-sti-screening-program'],1271,58.48,11.74,1,1,0,0.02,0.621,0.04,"['Wed, 16 Sep 2020 12:40:01 GMT', 'Thu, 22 Feb 2018 21:07:16 GMT']",2,"['https://shc.uci.edu', 'https://shc.uci.edu/insurance/uc-ship-benefits-and-information/uship', 'https://shc.uci.edu/sites/default/files/docs/Managing-Your-Medications-Online_0.PDF']",1
University of California Los Angeles,https://www.studenthealth.ucla.edu,3,"['https://www.studenthealth.ucla.edu/service/pharmacy', 'https://www.studenthealth.ucla.edu/services/prep-clinic', 'https://www.studenthealth.ucla.edu/outreach-and-supply-requests']",1229,70.23,7.66,4,2,2,0.027,0.619,0.058,"[-1, -1, -1]",1,"['https://www.studenthealth.ucla.edu', 'https://www.studenthealth.ucla.edu/services/bruin-health-pharmacy']",1
University of California Riverside,https://studenthealth.ucr.edu,1,['https://studenthealth.ucr.edu/preventive-care-disease-management'],452,72.34,5.88,2,1,1,0.025,0.456,0.333,"['Mon, 14 Sep 2020 00:10:57 GMT']",2,"['https://studenthealth.ucr.edu', 'https://studenthealth.ucr.edu/immunization-requirements', 'https://studenthealth.ucr.edu/sites/g/files/rcwecm1581/files/2018-12/TB%20Clearance%20form%202_11-2018_0.docx']",1
University of California San Diego,https://wellness.ucsd.edu/studenthealth/Pages,,,,,,,,,,,,,,,0
University of California Santa Barbara,https://studenthealth.sa.ucsb.edu,10,"['https://studenthealth.sa.ucsb.edu/medical-services/reproductiveandsexualhealth/hiv-prep', 'https://studenthealth.sa.ucsb.edu/docs/default-source/default-document-library/travel-products-at-ucsb-pharmacy.pdf?sfvrsn=0', 'http://studenthealth.sa.ucsb.edu/health-topics/hiv-and-aids', 'https://studenthealth.sa.ucsb.edu/docs/default-source/Travel/travel-otc-form.pdf?sfvrsn=0', 'http://studenthealth.sa.ucsb.edu/docs/default-source/forms/confidential-health-history_202002606c917c615d65cca2d6ff000065a81b.pdf?sfvrsn=c531f4ab_0']",174430,70.02,7.2,4,2,2,0.023,0.494,0.181,"['Tue, 23 Jan 2018 23:50:36 GMT', -1, 'Mon, 23 May 2016 22:11:41 GMT', 'Tue, 10 May 2016 21:27:06 GMT', 'Mon, 23 May 2016 22:11:16 GMT', -1, -1, 'Thu, 05 May 2016 19:03:23 GMT', -1, -1]",1,"['https://studenthealth.sa.ucsb.edu', 'https://studenthealth.sa.ucsb.edu/docs/default-source/forms/online-shs-statement_web-template.pdf?sfvrsn=ee54f4ab_4']",1
University of California Santa Cruz,https://healthcenter.ucsc.edu,10,"['https://healthcenter.ucsc.edu/services/birthcontrol.html', 'https://healthcenter.ucsc.edu/wellness/sex.html', 'https://healthcenter.ucsc.edu/pharmacy/faq/contraceptives.html', 'https://healthcenter.ucsc.edu/pharmacy/', 'https://healthcenter.ucsc.edu/location/index.html', 'https://healthcenter.ucsc.edu/pharmacy/references/vitex%20berry.pdf', 'https://healthcenter.ucsc.edu/forms/student-handbook/hc-1029-implantable-contraception---nexplanon.pdf']",4197,76.83,6.07,19,13,6,0.06,0.561,0.167,"[-1, -1, -1, -1, -1, 'Tue, 15 Sep 2020 17:33:21 GMT', 'Tue, 15 Sep 2020 17:33:25 GMT', 'Tue, 15 Sep 2020 17:33:21 GMT', 'Tue, 15 Sep 2020 17:33:22 GMT', 'Tue, 15 Sep 2020 17:33:22 GMT']",1,"['https://healthcenter.ucsc.edu', 'https://healthcenter.ucsc.edu/wellness/sex.html']",1
California State University Maritime Academy,https://www.csum.edu/web/health-services,1,['http://www.csum.edu/web/health-services/medical-services/'],969,70.07,7.26,4,2,2,0.039,0.516,0.126,[-1],-1,[],1
Humboldt State University,https://wellbeing.humboldt.edu,9,"['https://wellbeing.humboldt.edu/sexual-health', 'https://wellbeing.humboldt.edu/vending-machines', 'https://wellbeing.humboldt.edu/sites/default/files/health/PrEP%20for%20transgender%20women.pdf', 'https://wellbeing.humboldt.edu/sensitive-exams', 'https://wellbeing.humboldt.edu/data-strategic-planning']",6366,62.65,10.22,14,8,6,0.046,0.593,0.092,"[-1, 'Thu, 30 Jul 2020 00:54:41 GMT', -1, 'Thu, 30 Jul 2020 00:54:38 GMT', 'Thu, 30 Jul 2020 00:54:36 GMT', 'Thu, 30 Jul 2020 00:54:32 GMT', -1, -1, 'Thu, 30 Jul 2020 00:54:44 GMT']",2,"['https://wellbeing.humboldt.edu', 'https://wellbeing.humboldt.edu/clone-medical-pharmacy', 'https://wellbeing.humboldt.edu/sensitive-exams']",1
San Diego State University,https://sa.sdsu.edu/student-health-services,,,,,,,,,,,,,,,0
San Francisco State University,https://health.sfsu.edu,4,"['https://health.sfsu.edu/birth-control-and-sexual-health', 'https://health.sfsu.edu/content/women-who-have-sex-women', 'https://health.sfsu.edu/content/womens-services']",3190,75.42,6.12,4,2,2,0.041,0.373,0.111,"['Wed, 18 Dec 2019 04:59:22 GMT', 'Wed, 16 Sep 2020 14:16:24 GMT', 'Wed, 16 Sep 2020 14:16:24 GMT', 'Wed, 16 Sep 2020 14:16:24 GMT']",1,"['https://health.sfsu.edu', 'https://health.sfsu.edu/birth-control-and-sexual-health']",1
San Jose State University,https://www.sjsu.edu/studenthealth,,,,,,,,,,,,,,,0
Sonoma State University,https://health.sonoma.edu,7,"['http://health.sonoma.edu/services/appointments/reproductive-health/birth-control', 'http://health.sonoma.edu/shac/activities-and-accomplishments', 'http://health.sonoma.edu/sites/health/files/shac_meeting_minutes_10.22.18.pdf', 'http://health.sonoma.edu/services/appointments/reproductive-health/reproductive-health-exampap-smear', 'https://health.sonoma.edu/health-topics/reproductive-health']",4387,74.63,6.13,6,3,3,0.025,0.675,0.052,"['Wed, 16 Sep 2020 12:12:15 GMT', 'Wed, 16 Sep 2020 12:40:19 GMT', 'Fri, 12 Jun 2020 16:43:13 GMT', 'Mon, 25 Mar 2019 20:01:07 GMT', 'Tue, 03 Dec 2019 17:16:18 GMT', 'Wed, 16 Sep 2020 12:12:13 GMT', 'Wed, 16 Sep 2020 11:16:50 GMT']",2,"['https://health.sonoma.edu', 'https://health.sonoma.edu/shac-student-health-activities-club', 'https://health.sonoma.edu/shac/activities-and-accomplishments']",1
University of Colorado Denver/Anschutz Medical Campus,https://nursing.cuanschutz.edu,,,,,,,,,,,,,,,0
University of Colorado Colorado Springs,https://uccs.edu/recwellness/health-services,,,,,,,,,,,,,,,0
University of Colorado Boulder,https://www.colorado.edu/healthcenter,3,"['https://www.colorado.edu/healthcenter/sti', 'https://www.colorado.edu/healthcenter/services', 'https://www.colorado.edu/healthcenter/services/travel-clinic/during-and-after-your-trip']",1265,72.04,5.97,2,1,1,0.025,0.504,0.045,"['Wed, 16 Sep 2020 11:46:39 GMT', 'Wed, 16 Sep 2020 12:53:56 GMT', 'Wed, 16 Sep 2020 12:40:24 GMT']",1,"['https://www.colorado.edu/healthcenter', 'https://www.colorado.edu/healthcenter/services']",1
Colorado School of Mines,https://www.mines.edu/student-health,,,,,,,,,,,,,,,0
Colorado State University Fort Collins,https://health.colostate.edu,9,"['https://health.colostate.edu/condoms/', 'https://health.colostate.edu/sexual-health-resources/', 'https://health.colostate.edu/sexual-health-initiatives/', 'https://health.colostate.edu/crews/', 'https://health.colostate.edu/presentation-request/', 'https://health.colostate.edu/womens-care/', 'https://health.colostate.edu/increase-in-hepatitis-a-cases-in-colorado/', 'https://health.colostate.edu/presentation-request-form/']",14728,71.02,6.98,86,49,37,0.104,0.546,0.198,"['Tue, 15 Sep 2020 17:09:25 GMT', 'Mon, 14 Sep 2020 19:08:48 GMT', 'Mon, 14 Sep 2020 18:08:22 GMT', 'Mon, 14 Sep 2020 17:09:23 GMT', 'Tue, 15 Sep 2020 14:14:19 GMT', 'Mon, 14 Sep 2020 18:08:25 GMT', 'Tue, 29 Jan 2019 19:54:37 GMT', 'Mon, 14 Sep 2020 20:50:01 GMT', 'Mon, 14 Sep 2020 20:08:20 GMT']",-1,[],1
Fort Lewis College,https://www.fortlewis.edu/life-at-flc/health-safety/health-center,2,"['https://www.fortlewis.edu/life-at-flc/health-safety/health-center/faq', 'https://www.fortlewis.edu/life-at-flc/health-safety/health-center/medical-services-and-fees/medical-services']",1407,67.6,6.95,4,2,2,0.025,0.612,0.072,"[-1, -1]",1,"['https://www.fortlewis.edu/life-at-flc/health-safety/health-center', 'https://www.fortlewis.edu/life-at-flc/health-safety/health-center/medical-services-and-fees/medical-services']",1
Colorado Mesa University,https://www.coloradomesa.edu/student-services/wellness,,,,,,,,,,,,,,,0
Metropolitan State University of Denver,https://www.msudenver.edu/healthcenter,1,['https://www.msudenver.edu/healthcenter/medicalservices/freeclinicalservices/'],1464,78.94,5.91,2,2,0,0.035,0.746,0.016,"['Thu, 20 Aug 2020 00:06:08 GMT']",2,"['https://www.msudenver.edu/healthcenter', 'https://www.msudenver.edu/healthcenter/medicalservices/', 'https://www.msudenver.edu/healthcenter/medicalservices/freeclinicalservices/']",1
University of Northern Colorado,https://www.unco.edu/student-health-center,5,"['https://www.unco.edu/student-health-center/health-topics/zika-virus.aspx', 'https://www.unco.edu/student-health-center/health-topics/chlamydia.aspx', 'https://www.unco.edu/student-health-center/health-topics/genital-warts-hpv.aspx', 'https://www.unco.edu/student-health-center/health-topics/genital-herpes.aspx', 'https://www.unco.edu/student-health-center/health-topics/gonorrhea.aspx']",3375,82.79,4.45,31,19,12,0.084,0.561,0.054,"[-1, -1, -1, -1, -1]",2,"['https://www.unco.edu/student-health-center', 'https://www.unco.edu/student-health-center/stop-the-bleed.aspx', 'https://www.unco.edu/student-health-center/stop_the_bleed_inst.docx']",1
Colorado State University Pueblo,https://www.csupueblo.edu/student-health-services,,,,,,,,,,,,,,,0
Western State Colorado University,https://western.edu/student-life/health-wellness,,,,,,,,,,,,,,,0
Central Connecticut State University,https://web.ccsu.edu/healthservices/?redirected,,,,,,,,,,,,,,,0
University of Connecticut,https://shs.uconn.edu,,,,,,,,,,,,,,,0
Eastern Connecticut State University,https://www.easternct.edu/health-services,,,,,,,,,,,,,,,0
Southern Connecticut State University,https://inside.southernct.edu/health-services,1,['https://inside.southernct.edu/health-services/services'],1163,65.93,6.48,2,1,1,0.026,0.783,0.061,"['Wed, 16 Sep 2020 14:25:32 GMT']",1,"['https://inside.southernct.edu/health-services', 'https://inside.southernct.edu/health-services/services']",1
Western Connecticut State University,https://www.wcsu.edu/healthservices,,,,,,,,,,,,,,,0
Delaware State University,https://www.desu.edu/student-life/student-health-services,,,,,,,,,,,,,,,0
University of Delaware,https://sites.udel.edu/studenthealth,3,"['http://sites.udel.edu/studenthealth/men/', 'https://sites.udel.edu/studenthealth/women/']",1750,51.1,8.99,4,2,2,0.035,0.543,0.143,"[-1, -1, -1]",2,"['https://sites.udel.edu/studenthealth', 'https://sites.udel.edu/studenthealth/services/', 'https://sites.udel.edu/studenthealth/women/']",1
University of the District of Columbia,https://www.udc.edu/health-services,1,['https://www.udc.edu/health-services/zika-virus-disease/'],1513,71.22,7.01,2,1,1,0.018,0.743,0.002,[-1],-1,[],1
